#	 1:T[k]	 2:Cp[J/kg/K] 	3:h[J/kg]
 2.000000e+02 1.010785e+03 3.449783e+05
 3.000000e+02 1.013015e+03 4.461365e+05
 4.000000e+02 1.021485e+03 5.477988e+05
 5.000000e+02 1.037387e+03 6.506842e+05
 6.000000e+02 1.058732e+03 7.554615e+05
 7.000000e+02 1.090336e+03 3.004658e+06
 8.000000e+02 1.116210e+03 3.115027e+06
 9.000000e+02 1.137721e+03 3.227755e+06
 1.000000e+03 1.156031e+03 3.342465e+06
 1.100000e+03 1.171898e+03 3.458882e+06
 1.200000e+03 1.185599e+03 3.576772e+06
 1.300000e+03 1.197695e+03 3.695949e+06
 1.400000e+03 1.208552e+03 3.816270e+06
 1.500000e+03 1.218418e+03 3.937626e+06
 1.600000e+03 1.227469e+03 4.059927e+06
 1.700000e+03 1.235831e+03 4.183097e+06
 1.800000e+03 1.243598e+03 4.307073e+06
 1.900000e+03 1.250842e+03 4.431799e+06
 2.000000e+03 1.257618e+03 4.557226e+06
 2.100000e+03 1.263972e+03 4.683309e+06
 2.200000e+03 1.269940e+03 4.810008e+06
 2.300000e+03 1.275553e+03 4.937285e+06
 2.400000e+03 1.280837e+03 5.065107e+06
 2.500000e+03 1.285815e+03 5.193442e+06
 2.600000e+03 1.290507e+03 5.322261e+06
 2.700000e+03 1.294931e+03 5.451535e+06
 2.800000e+03 1.299105e+03 5.581238e+06
 2.900000e+03 1.303042e+03 5.711348e+06
 3.000000e+03 1.306756e+03 5.841839e+06
 3.100000e+03 1.310263e+03 5.972692e+06
 3.200000e+03 1.313572e+03 6.103885e+06
 3.300000e+03 1.316698e+03 6.235400e+06
 3.400000e+03 1.319650e+03 6.367219e+06
 3.500000e+03 1.322441e+03 6.499325e+06
 3.600000e+03 1.325081e+03 6.631702e+06
 3.700000e+03 1.327580e+03 6.764336e+06
 3.800000e+03 1.329948e+03 6.897214e+06
 3.900000e+03 1.332195e+03 7.030322e+06
 4.000000e+03 1.334331e+03 7.163649e+06
 4.100000e+03 1.336365e+03 7.297185e+06
 4.200000e+03 1.338307e+03 7.430919e+06
 4.300000e+03 1.340166e+03 7.564843e+06
 4.400000e+03 1.341950e+03 7.698950e+06
 4.500000e+03 1.343668e+03 7.833231e+06
 4.600000e+03 1.345329e+03 7.967682e+06
 4.700000e+03 1.346942e+03 8.102296e+06
 4.800000e+03 1.348515e+03 8.237069e+06
 4.900000e+03 1.350057e+03 8.371998e+06
 5.000000e+03 1.351574e+03 8.507079e+06
 5.100000e+03 1.353077e+03 8.642312e+06
 5.200000e+03 1.354572e+03 8.777694e+06
 5.300000e+03 1.356068e+03 8.913226e+06
 5.400000e+03 1.357572e+03 9.048908e+06
 5.500000e+03 1.359092e+03 9.184741e+06
 5.600000e+03 1.360636e+03 9.320727e+06
 5.700000e+03 1.362211e+03 9.456869e+06
 5.800000e+03 1.363824e+03 9.593171e+06
 5.900000e+03 1.365484e+03 9.729636e+06
 6.000000e+03 1.367197e+03 9.866269e+06
 6.100000e+03 1.368806e+03 1.000307e+07
 6.200000e+03 1.370500e+03 1.014003e+07
 6.300000e+03 1.372275e+03 1.027717e+07
 6.400000e+03 1.374131e+03 1.041449e+07
 6.500000e+03 1.376065e+03 1.055200e+07
 6.600000e+03 1.378080e+03 1.068971e+07
 6.700000e+03 1.380178e+03 1.082762e+07
 6.800000e+03 1.382362e+03 1.096575e+07
 6.900000e+03 1.384635e+03 1.110409e+07
 7.000000e+03 1.387003e+03 1.124268e+07
 7.100000e+03 1.389472e+03 1.138150e+07
 7.200000e+03 1.392046e+03 1.152057e+07
 7.300000e+03 1.394734e+03 1.165991e+07
 7.400000e+03 1.397542e+03 1.179952e+07
 7.500000e+03 1.400478e+03 1.193942e+07
 7.600000e+03 1.403549e+03 1.207962e+07
 7.700000e+03 1.406764e+03 1.222014e+07
 7.800000e+03 1.410131e+03 1.236098e+07
 7.900000e+03 1.413658e+03 1.250217e+07
 8.000000e+03 1.417355e+03 1.264372e+07
 8.100000e+03 1.421230e+03 1.278565e+07
