

~~~~~~~O~~~~~~~
100.0-6000.0    | -52459.8980731, 1022.29283775, 18.5192747654, 0.00226527540085, -1.05209768629e-06, 2.23199697682e-10, -1.57045303651e-14, 
6000.0-14000.0  | 0.807727342878, 266735.904252, -82.6224318173, 0.00702122739611, 1.89499789027e-06, -3.07775611319e-10, 1.278844755e-14, 
14000.0-22000.0 | 1.0, -176158278.305, 61020.1369328, -8.19082577913, 0.000532526772005, -1.67331213184e-08, 2.03756581843e-13, 
22000.0-50000.0 | 1.0, 19674244.3268, -1111.49493923, -0.00188308904986, 1.36739368158e-06, -3.20479529799e-11, 2.2745797774e-16, 


~~~~~~~O+~~~~~~~
100.0-14000.0   | 810.133022349, 0.137264375474, 20.6877381303, 0.000350062353885, -2.62921847527e-07, 5.17360585661e-11, -2.23685750496e-15, 
14000.0-32000.0 | 1.0, 1973225.52841, -335.495707052, 0.0176752168184, 4.31317666075e-07, -5.41329125933e-11, 1.08333476431e-15, 
32000.0-50000.0 | 1.0, 1.0, 14807.2677202, -1.67349833511, 6.87574769297e-05, -1.21215158022e-09, 7.77330514056e-15, 


~~~~~~~O2~~~~~~~
100.0-600.0     | 57443.841777, -1637.74184262, 46.9029647109, -0.0923755118237, 0.000231071067206, -2.42668052038e-07, 9.57797936487e-11, 
600.0-4000.0    | 3046735.9989, -17090.549286, 60.073656846, -0.0171586611049, 7.24009156293e-06, -1.32267708815e-09, 9.05198157608e-14, 
4000.0-10000.0  | 1.0, -73024.848473, 103.476447082, -0.0233579581167, 4.50021697937e-06, -3.94203237384e-10, 1.23327271334e-14, 
10000.0-50000.0 | 1.0, -1219.2518045, 75.7234437007, -0.00493708695232, 1.86997202325e-07, -3.25375601502e-12, 2.13457554084e-17, 


~~~~~~~O2+~~~~~~~
100.0-600.0     | 501.71085916, 17.3316347283, 28.3057860274, 0.0101373496729, -5.52579973373e-05, 1.28158433307e-07, -8.58628059392e-11, 
600.0-4000.0    | 2246339.44909, -10727.524422, 42.7834277932, 0.000447281249545, -1.13091110621e-06, 3.67994981868e-10, -3.60084736296e-14, 
4000.0-14000.0  | 1.0, -198223.416993, 201.938452292, -0.0517442258331, 7.56056232766e-06, -4.83463043344e-10, 1.11011456511e-14, 
14000.0-50000.0 | 1.0, -354191.770871, 170.438721896, -0.0113518365865, 3.75683735115e-07, -5.84647392897e-12, 3.49783765025e-17, 


~~~~~~~N~~~~~~~
100.0-6000.0    | -5590.00075526, 96.5966699679, 20.2872989638, 0.000957252153132, -7.10218221675e-07, 1.93089939256e-10, -1.28555827676e-14, 
6000.0-14000.0  | 1.0, 1786326.71759, -917.898745132, 0.179582029375, -1.43553062183e-05, 3.68082277742e-10, 4.24912486143e-15, 
14000.0-22000.0 | 1.0, 715801550.104, -191783.282262, 20.0533299842, -0.00102160957926, 2.54134850404e-08, -2.47491533755e-13, 
22000.0-50000.0 | 1.0, 67543350.5975, -8347.47292574, 0.417881770464, -1.0459449969e-05, 1.30806183442e-10, -6.52547098676e-16, 


~~~~~~~N+~~~~~~~
100.0-14000.0   | 38657.246928, -14.8268305808, 21.0966265205, -0.000575844529591, 2.51065846719e-07, -2.47122755967e-11, 7.64639289971e-16, 
14000.0-30000.0 | 1.0, 106573947.806, -27597.7301278, 2.80907059869, -0.000139696900751, 3.38047664665e-09, -3.15658398663e-14, 
30000.0-50000.0 | 1.0, -1472353694.93, 162366.511298, -6.94388575346, 0.000144640352464, -1.46815378071e-09, 5.79640188974e-15, 


~~~~~~~N2~~~~~~~
100.0-600.0     | -11291.067653, 338.758753381, 25.0190311533, 0.0252495700802, -8.26433969553e-05, 1.3102520177e-07, -7.06159258219e-11, 
600.0-10000.0   | 263664.870466, -3907.91815406, 34.610489568, 0.00238410643851, -4.76081208631e-07, 3.04072935622e-11, 4.23808973037e-16, 
