T,O,O+,O2,O2+,N,N+,N2,N2+,NO,NO+,e
50,21.96,20.79,29.1,29.1,20.79,29.42,,,,,
100,23.7,20.79,29.11,29.11,20.79,24.73,,,,,
150,23.36,20.79,29.11,29.11,20.79,22.72,,,,,
200,22.74,20.79,29.13,29.11,20.79,21.9,,,,,
298.15,21.91,20.79,29.38,29.2,20.79,21.29,,,,,
300,21.9,20.79,29.39,29.2,20.79,21.28,,,,,
400,21.48,20.79,30.11,29.57,20.79,21.06,,,,,
500,21.26,20.79,31.09,30.25,20.79,20.96,,,,,
600,21.12,20.79,32.09,31.08,20.79,20.91,,,,,
700,21.04,20.79,32.98,31.92,20.79,20.87,,,,,
800,20.98,20.79,33.74,32.69,20.79,20.85,,,,,
900,20.94,20.79,34.36,33.37,20.79,20.84,,,,,
1000,20.91,20.79,34.88,33.95,20.79,20.83,,,,,
2000,20.83,20.79,37.8,36.72,20.79,20.81,,,,,
3000,20.94,20.79,40.02,37.64,20.96,20.96,,,,,
4000,21.3,20.79,41.72,38.27,21.82,21.37,,,,,
5000,21.8,20.91,43.02,39.11,23.46,21.89,,,,,
6000,22.27,21.35,44,40.57,25.52,22.37,,,,,
7000,22.65,22.23,44.45,42.67,27.49,22.75,,,,,
8000,22.93,23.49,44.18,45.03,29.05,23.03,,,,,
9000,23.24,26.43,43.2,47.05,30.25,23.23,,,,,
10000,23.91,27.76,41.74,48.29,31.73,23.38,,,,,
11000,25.74,28.84,40,48.56,35.02,23.5,,,,,
12000,30.03,29.64,38.28,47.95,42.77,23.36,,,,,
13000,38.54,30.16,36.61,46.7,58.21,23.69,,,,,
14000,52.88,30.43,35.08,45.05,83.42,23.78,,,,,
15000,73.45,30.5,33.71,43.18,116.3,23.89,,,,,
16000,98.18,30.41,32.51,41.29,148.9,24.04,,,,,
17000,122.2,30.21,31.46,39.45,170,24.28,,,,,
18000,139.6,29.94,30.55,37.73,173.2,24.72,,,,,
19000,146.4,29.66,29.76,36.16,160.2,25.57,,,,,
20000,142.2,29.4,29.07,34.73,138.4,27.14,,,,,
21000,130.2,29.25,28.47,33.45,114.9,29.95,,,,,
22000,114.6,29.29,27.94,32.32,93.68,34.69,,,,,
23000,98.39,29.67,27.47,31.3,76.41,42.28,,,,,
24000,83.66,30.57,27.06,30.4,63.05,53.71,,,,,
25000,71.14,32.25,26.69,29.6,52.98,69.88,,,,,
26000,60.94,35.03,26.35,28.89,45.48,91.31,,,,,
27000,52.82,39.28,26.05,28.25,39.89,117.6,,,,,
28000,46.43,45.42,25.78,27.68,35.72,147.2,,,,,
29000,41.43,53.87,25.53,27.17,32.59,177,,,,,
30000,37.51,64.96,25.31,26.71,30.21,203.2,,,,,
32000,32.01,95.47,24.91,25.93,26.98,230.5,,,,,
34000,28.55,134.4,24.56,25.28,25.02,217.7,,,,,
36000,26.31,172.4,24.27,24.75,23.78,179.9,,,,,
38000,24.83,198.3,24.01,24.31,22.96,137.9,,,,,
40000,23.81,203.3,23.78,23.93,22.41,102.9,,,,,
42000,23.1,189.2,23.57,23.61,22.03,77.43,,,,,
44000,22.59,163.8,23.39,23.34,21.76,59.86,,,,,
46000,22.22,135.7,23.23,23.1,21.56,48.03,,,,,
48000,21.94,109.9,23.08,22.9,21.41,40.08,,,,,
50000,21.73,88.68,22.94,22.72,21.3,34.68,,,,,
