T, Cp, H, S
300, 21.278390649, 6241.97833397, 18.026702297
350, 21.1460270695, 7280.52986941, 18.0918539655
400, 21.0603339413, 8319.24368888, 18.1339299255
450, 21.0018087393, 9358.07366078, 18.16264001
500, 20.9601215351, 10396.989238, 18.1830872812
550, 20.9294053273, 11435.9695545, 18.1981573441
600, 20.9061346213, 12474.9999366, 18.2095798379
650, 20.8880903977, 13514.0697929, 18.218441939
700, 20.8738207773, 14553.1713007, 18.2254544875
750, 20.8623441033, 15592.2985632, 18.231097981
800, 20.8529776918, 16631.4470556, 18.2357065852
850, 20.8452350496, 17670.6132495, 18.2395184835
900, 20.838762023, 18709.7943543, 18.2427071319
950, 20.8332959305, 19748.9881348, 18.2454012618
1000, 20.828638722, 20788.19278, 18.2476980336
1050, 20.8246389587, 21827.4068074, 18.2496718954
1100, 20.8211794961, 22866.6289917, 18.2513806806
1150, 20.8181689454, 23905.8583119, 18.2528698907
1200, 20.8155356965, 24945.0939103, 18.2541757585
1250, 20.8132237074, 25984.3350613, 18.2553274808
1300, 20.8111895272, 27023.5811473, 18.256348872
1350, 20.8094001843, 28062.8316391, 18.2572596105
1400, 20.8078316782, 29102.0860814, 18.2580761938
1450, 20.8064678856, 30141.34408, 18.2588126796
1500, 20.8052997414, 31180.6052928, 18.2594812695
1550, 20.8043245925, 32219.869421, 18.2600927735
1600, 20.8035456501, 33259.1362035, 18.2606569814
1650, 20.8029714897, 34298.4054113, 18.261182961
1700, 20.8026155624, 35337.6768426, 18.2616792977
1750, 20.8024956977, 36376.9503198, 18.2621542846
1800, 20.8026335875, 37416.2256862, 18.2626160714
1850, 20.8030542471, 38455.5028032, 18.2630727787
1900, 20.8037854584, 39494.7815481, 18.2635325827
1950, 20.8048572005, 40534.0618125, 18.2640037738
2000, 20.8063010763, 41573.3435002, 18.2644947933
2050, 20.8081497469, 42612.626526, 18.2650142518
2100, 20.8104363804, 43651.9108143, 18.2655709315
2150, 20.8131941269, 44691.1962983, 18.2661737762
2200, 20.8164556262, 45730.4829185, 18.2668318698
2250, 20.8202525543, 46769.7706224, 18.2675544076
2300, 20.8246152144, 47809.0593632, 18.2683506601
2350, 20.8295721754, 48848.3490993, 18.2692299338
2400, 20.8351499596, 49887.639794, 18.2702015276
2450, 20.8413727803, 50926.9314143, 18.2712746889
2500, 20.8482623287, 51966.2239309, 18.2724585689
2550, 20.8558376088, 53005.5173178, 18.2737621779
2600, 20.8641148173, 54044.8115513, 18.2751943438
2650, 20.8731072663, 55084.1066103, 18.276763671
2700, 20.8828253453, 56123.4024756, 18.2784785031
2750, 20.8932765183, 57162.6991298, 18.2803468881
2800, 20.9044653532, 58201.9965568, 18.2823765475
2850, 20.9163935789, 59241.294742, 18.2845748484
2900, 20.929060166, 60280.5936716, 18.2869487796
2950, 20.9424614292, 61319.8933327, 18.2895049308
3000, 20.9565911458, 62359.1937131, 18.2922494764
3050, 20.971440688, 63398.4948012, 18.2951881614
3100, 20.9869991663, 64437.7965858, 18.298326292
3150, 21.0032535809, 65477.0990561, 18.3016687281
3200, 21.0201889779, 66516.4022014, 18.3052198799
3250, 21.0377886094, 67555.7060113, 18.3089837063
3300, 21.0560340945, 68595.0104754, 18.3129637168
3350, 21.0749055796, 69634.3155835, 18.3171629747
3400, 21.0943818973, 70673.6213251, 18.321584103
3450, 21.1144407215, 71712.92769, 18.3262292924
3500, 21.1350587181, 72752.2346678, 18.3311003102
3550, 21.1562116911, 73791.5422479, 18.3361985112
3600, 21.1778747223, 74830.8504199, 18.3415248499
3650, 21.2000223046, 75870.159173, 18.3470798932
3700, 21.2226284688, 76909.4684964, 18.3528638346
3750, 21.2456669027, 77948.7783791, 18.3588765087
3800, 21.2691110637, 78988.0888101, 18.3651174066
3850, 21.2929342831, 80027.3997783, 18.3715856915
3900, 21.3171098638, 81066.7112724, 18.3782802144
3950, 21.3416111704, 82106.0232809, 18.3851995305
4000, 21.366411712, 83145.3357924, 18.3923419153
4050, 21.391485218, 84184.6487953, 18.3997053808
4100, 21.4168057073, 85223.962278, 18.4072876914
4150, 21.442347551, 86263.2762288, 18.4150863801
4200, 21.4680855283, 87302.590636, 18.4230987639
4250, 21.4939948771, 88341.9054877, 18.4313219591
4300, 21.5200513382, 89381.2207721, 18.4397528967
4350, 21.5462311947, 90420.5364775, 18.4483883367
4400, 21.5725113056, 91459.852592, 18.4572248821
4450, 21.5988691356, 92499.1691038, 18.4662589935
4500, 21.6252827794, 93538.4860012, 18.4754870013
4550, 21.6517309822, 94577.8032725, 18.4849051194
4600, 21.6781931567, 95617.1209059, 18.494509457
4650, 21.7046493959, 96656.43889, 18.5042960307
