T, Cp, H, S
300, 20.7861495, 6235.84485, 11.5262887365
350, 20.7861495, 7275.152325, 11.5262887365
400, 20.7861495, 8314.4598, 11.5262887365
450, 20.7861495, 9353.767275, 11.5262887365
500, 20.7861495, 10393.07475, 11.5262887365
550, 20.7861495, 11432.382225, 11.5262887365
600, 20.7861495, 12471.6897, 11.5262887365
650, 20.7861495, 13510.997175, 11.5262887365
700, 20.7861495, 14550.30465, 11.5262887365
750, 20.7861495, 15589.612125, 11.5262887365
800, 20.7861495, 16628.9196, 11.5262887365
850, 20.7861495002, 17668.227075, 11.5262887365
900, 20.7861495009, 18707.53455, 11.5262887365
950, 20.786149504, 19746.842025, 11.5262887366
1000, 20.7861495154, 20786.1495, 11.5262887371
1050, 20.7861495521, 21825.456975, 11.5262887385
1100, 20.7861496571, 22864.76445, 11.526288743
1150, 20.7861499291, 23904.071925, 11.5262887551
1200, 20.7861505738, 24943.3794001, 11.5262887851
1250, 20.7861519887, 25982.6868752, 11.526288854
1300, 20.7861548902, 27021.9943505, 11.5262890017
1350, 20.7861604934, 28061.3018261, 11.5262892991
1400, 20.7861707522, 29100.6093022, 11.5262898664
1450, 20.7861886623, 30139.9167791, 11.5262908966
1500, 20.7862186257, 31179.2242575, 11.5262926875
1550, 20.7862668713, 32218.5317382, 11.5262956805
1600, 20.7863419175, 33257.8392223, 11.5263005075
1650, 20.786455063, 34297.1467114, 11.5263080457
1700, 20.7866208852, 35336.4542079, 11.5263194785
1750, 20.7868577264, 36375.7617146, 11.5263363621
1800, 20.7871881459, 37415.0692351, 11.5263606963
1850, 20.7876393196, 38454.3767742, 11.5263949965
1900, 20.788243369, 39493.6843375, 11.526442367
1950, 20.7890376061, 40532.991932, 11.5265065713
2000, 20.7900646848, 41572.2995658, 11.5265920989
2050, 20.791372651, 42611.6072487, 11.5267042263
2100, 20.7930148917, 43650.9149916, 11.5268490708
2150, 20.7950499831, 44690.2228074, 11.5270336355
2200, 20.7975414439, 45729.5307103, 11.5272658444
2250, 20.8005574009, 46768.8387164, 11.527554567
2300, 20.8041701765, 47808.1468431, 11.5279096324
