T, Cp, H, S
300, 21.9007612183, 6239.37849929, 17.6325996047
350, 21.6574114884, 7278.46288746, 17.7850768069
400, 21.4826094024, 8317.55134853, 17.8893873601
450, 21.3540274802, 9356.65509917, 17.9636231297
500, 21.2572157726, 10395.7772471, 18.0182131712
550, 21.1827552098, 11434.9176355, 18.0594694089
600, 21.1243861578, 12474.0748732, 18.0913768826
650, 21.0778539495, 13513.2472, 18.1165449837
700, 21.0402010519, 14552.4328498, 18.1367370761
750, 21.0093275695, 15591.6301942, 18.1531779308
800, 20.9837130935, 16630.8377879, 18.166738896
850, 20.9622369321, 17670.0543718, 18.1780531288
900, 20.9440594734, 18709.2788584, 18.1875894133
950, 20.9285423164, 19748.5103121, 18.1957006859
1000, 20.9151934937, 20787.7479283, 18.2026566804
1050, 20.9036292568, 21826.991014, 18.2086663526
1100, 20.8935470057, 22866.2389714, 18.2138935773
1150, 20.8847058528, 23905.4912831, 18.2184683277
1200, 20.8769125036, 24944.7474998, 18.2224947653
1250, 20.8700108991, 25984.0072303, 18.2260571798
1300, 20.8638745543, 27023.2701327, 18.2292244136
1350, 20.8584008461, 28062.5359073, 18.2320531993
1400, 20.8535067241, 29101.8042907, 18.234590709
1450, 20.8491254599, 30141.0750506, 18.2368765247
1500, 20.8452041543, 31180.3479817, 18.238944178
1550, 20.8417017944, 32219.6229021, 18.2408223646
1600, 20.8385877056, 33258.8996506, 18.2425359105
1650, 20.8358402843, 34298.1780837, 18.2441065473
1700, 20.833445925, 35337.458074, 18.2455535357
1750, 20.8313980833, 36376.739508, 18.246894171
1800, 20.8296964299, 37416.0222845, 18.2481441908
1850, 20.8283460668, 38455.3063136, 18.2493181057
1900, 20.8273567884, 39494.591515, 18.2504294654
1950, 20.8267423759, 40533.8778175, 18.2514910708
2000, 20.8265199201, 41573.1651576, 18.2525151424
2050, 20.8267091725, 42612.4534789, 18.2535134516
2100, 20.827331925, 43651.7427317, 18.2544974203
2150, 20.8284114217, 44691.0328714, 18.2554781949
2200, 20.8299718062, 45730.323859, 18.256466699
2250, 20.8320376076, 46769.6156599, 18.2574736671
2300, 20.8346332683, 47808.9082436, 18.2585096654
2350, 20.837782716, 48848.201583, 18.2595850988
2400, 20.8415089817, 49887.4956546, 18.2607102101
2450, 20.8458338636, 50926.7904375, 18.2618950714
2500, 20.8507776381, 51966.0859134, 18.2631495697
2550, 20.8563588158, 53005.3820662, 18.2644833892
2600, 20.8625939419, 54044.6788816, 18.2659059904
2650, 20.8694974388, 55083.9763472, 18.2674265886
2700, 20.877081488, 56123.2744517, 18.2690541312
2750, 20.8853559489, 57162.5731852, 18.2707972752
2800, 20.8943283112, 58201.8725389, 18.2726643663
2850, 20.9040036783, 59241.1725048, 18.2746634183
2900, 20.9143847776, 60280.4730753, 18.2768020952
2950, 20.925471995, 61319.7742438, 18.2790876943
3000, 20.9372634307, 62359.0760038, 18.2815271324
3050, 20.9497549725, 63398.3783493, 18.2841269335
3100, 20.9629403842, 64437.6812744, 18.2868932189
3150, 20.976811407, 65476.9847734, 18.2898317002
3200, 20.9913578699, 66516.2888408, 18.2929476737
3250, 21.0065678084, 67555.5934708, 18.296246018
3300, 21.0224275882, 68594.8986578, 18.2997311922
3350, 21.0389220332, 69634.2043961, 18.3034072377
3400, 21.0560345545, 70673.5106797, 18.3072777809
3450, 21.0737472805, 71712.8175026, 18.3113460375
3500, 21.0920411868, 72752.1248585, 18.3156148189
3550, 21.1108962229, 73791.4327411, 18.3200865395
3600, 21.1302914372, 74830.7411437, 18.3247632256
3650, 21.1502050983, 75870.0500594, 18.3296465251
3700, 21.1706148111, 76909.3594811, 18.3347377182
3750, 21.19149763, 77948.6694015, 18.3400377294
3800, 21.2128301649, 78987.979813, 18.3455471392
3850, 21.2345886836, 80027.290708, 18.3512661973
3900, 21.2567492074, 81066.6020784, 18.357194836
3950, 21.2792876017, 82105.913916, 18.3633326833
4000, 21.3021796601, 83145.2262125, 18.3696790773
4050, 21.3254011832, 84184.5389593, 18.37623308
4100, 21.3489280516, 85223.8521477, 18.3829934914
4150, 21.3727362932, 86263.1657688, 18.3899588636
4200, 21.3968021447, 87302.4798135, 18.3971275148
4250, 21.4211021082, 88341.7942727, 18.4044975431
4300, 21.4456130022, 89381.109137, 18.4120668404
4350, 21.4703120081, 90420.4243972, 18.4198331058
4400, 21.495176711, 91459.7400437, 18.4277938586
4450, 21.5201851374, 92499.056067, 18.4359464516
4500, 21.5453157872, 93538.3724574, 18.4442880832
4550, 21.5705476624, 94577.6892054, 18.4528158099
4600, 21.5958602916, 95617.0063012, 18.4615265582
4650, 21.6212337514, 96656.3237352, 18.4704171357
4700, 21.6466486836, 97695.6414976, 18.4794842424
4750, 21.67208631, 98734.9595788, 18.4887244815
4800, 21.6975284441, 99774.2779691, 18.4981343689
4850, 21.7229574999, 100813.596659, 18.5077103439
4900, 21.7483564983, 101852.915638, 18.5174487779
4950, 21.7737090712, 102892.234898, 18.5273459834
5000, 21.7989994638, 103931.554428, 18.5373982229
5050, 21.8242125345, 104970.87422, 18.5476017165
5100, 21.8493337534, 106010.194264, 18.5579526501
5150, 21.8743491993, 107049.514551, 18.5684471823
5200, 21.8992455549, 108088.835071, 18.5790814514
5250, 21.9240101016, 109128.155815, 18.5898515822
5300, 21.9486307119, 110167.476775, 18.6007536918
5350, 21.9730958425, 111206.797942, 18.6117838954
5400, 21.997394525, 112246.119307, 18.6229383122
5450, 22.0215163568, 113285.440861, 18.6342130701
5500, 22.0454514916, 114324.762596, 18.6456043105
5550, 22.0691906287, 115364.084504, 18.6571081933
5600, 22.0927250023, 116403.406576, 18.6687209002
5650, 22.1160463709, 117442.728805, 18.6804386395
5700, 22.1391470061, 118482.051181, 18.6922576492
5750, 22.1620196811, 119521.373699, 18.7041742008
5800, 22.1846576598, 120560.696349, 18.7161846019
5850, 22.207054686, 121600.019125, 18.7282851996
5900, 22.229204972, 122639.342019, 18.7404723831
5950, 22.251103188, 123678.665024, 18.7527425858
6000, 22.272744452, 124717.988133, 18.7650922883
6050, 22.2941243196, 125757.31134, 18.7775180198
6100, 22.3152387743, 126796.634636, 18.7900163606
6150, 22.3360842186, 127835.958017, 18.8025839437
6200, 22.3566574652, 128875.281475, 18.8152174561
6250, 22.3769557291, 129914.605004, 18.8279136411
6300, 22.3969766202, 130953.928599, 18.8406692989
6350, 22.4167181365, 131993.252252, 18.8534812884
6400, 22.4361786583, 133032.575959, 18.8663465281
6450, 22.4553569427, 134071.899714, 18.8792619973
6500, 22.4742521194, 135111.223512, 18.8922247374
6550, 22.492863687, 136150.547346, 18.9052318521
6600, 22.5111915102, 137189.871213, 18.9182805091
6650, 22.5292358179, 138229.195107, 18.9313679404
6700, 22.5469972026, 139268.519022, 18.9444914435
6750, 22.5644766199, 140307.842955, 18.9576483816
6800, 22.5816753899, 141347.166901, 18.970836185
6850, 22.5985951989, 142386.490856, 18.9840523513
6900, 22.6152381028, 143425.814815, 18.9972944464
6950, 22.6316065305, 144465.138775, 19.0105601049
7000, 22.6477032897, 145504.46273, 19.0238470314
7050, 22.6635315725, 146543.786679, 19.0371530006
7100, 22.6790949626, 147583.110616, 19.0504758582
7150, 22.6943974441, 148622.434539, 19.0638135222
7200, 22.7094434101, 149661.758445, 19.077163983
7250, 22.724237674, 150701.082329, 19.0905253047
7300, 22.7387854801, 151740.40619, 19.1038956257
7350, 22.7530925169, 152779.730024, 19.1172731601
7400, 22.7671649307, 153819.053829, 19.1306561982
7450, 22.7810093398, 154858.377601, 19.1440431079
7500, 22.7946328512, 155897.70134, 19.1574323357
7550, 22.8080430765, 156937.025042, 19.1708224081
7600, 22.8212481506, 157976.348706, 19.1842119326
7650, 22.83425675, 159015.67233, 19.1975995992
7700, 22.8470781132, 160054.995911, 19.2109841819
7750, 22.8597220611, 161094.319449, 19.2243645401
7800, 22.8721990191, 162133.642943, 19.2377396204
7850, 22.8845200397, 163172.96639, 19.2511084581
7900, 22.8966968264, 164212.289789, 19.2644701792
7950, 22.9087417576, 165251.613141, 19.2778240021
8000, 22.9206679124, 166290.936444, 19.2911692398
8050, 22.9324890966, 167330.259698, 19.3045053018
8100, 22.9442198691, 168369.582903, 19.3178316963
8150, 22.9558755702, 169408.906058, 19.3311480327
8200, 22.967472349, 170448.229164, 19.3444540238
8250, 22.9790271927, 171487.55222, 19.3577494884
8300, 22.9905579558, 172526.875228, 19.3710343536
8350, 23.0020833899, 173566.198188, 19.384308658
8400, 23.0136231745, 174605.521101, 19.3975725541
8450, 23.025197947, 175644.843967, 19.4108263113
8500, 23.0368293349, 176684.16679, 19.4240703189
8550, 23.0485399862, 177723.489569, 19.4373050892
8600, 23.060353602, 178762.812307, 19.4505312605
8650, 23.0722949678, 179802.135006, 19.4637496008
8700, 23.084389986, 180841.457668, 19.4769610106
8750, 23.0966657079, 181880.780295, 19.4901665268
8800, 23.1091503657, 182920.102891, 19.503367326
8850, 23.1218734052, 183959.425459, 19.5165647282
8900, 23.134865517, 184998.748001, 19.5297602004
8950, 23.1481586694, 186038.070522, 19.5429553606
9000, 23.1617861393, 187077.393026, 19.5561519813
9050, 23.1757825438, 188116.715515, 19.5693519938
9100, 23.1901838717, 189156.037996, 19.5825574918
9150, 23.2050275136, 190195.360473, 19.5957707356
9200, 23.2203522925, 191234.68295, 19.6089941563
9250, 23.2361984931, 192274.005434, 19.6222303598
9300, 23.2526078913, 193313.32793, 19.635482131
9350, 23.2696237824, 194352.650443, 19.6487524381
9400, 23.287291009, 195391.972982, 19.6620444368
9450, 23.3056559879, 196431.295551, 19.6753614747
9500, 23.3247667359, 197470.618159, 19.6887070955
9550, 23.3446728957, 198509.940812, 19.7020850433
9600, 23.3654257597, 199549.263519, 19.7154992673
9650, 23.3870782933, 200588.586288, 19.7289539258
9700, 23.4096851576, 201627.909128, 19.7424533907
9750, 23.4333027298, 202667.232046, 19.7560022519
9800, 23.4579891235, 203706.555054, 19.7696053218
9850, 23.4838042074, 204745.87816, 19.7832676394
9900, 23.5108096224, 205785.201375, 19.7969944749
9950, 23.539068798, 206824.52471, 19.8107913337
10000, 23.5686469664, 207863.848175, 19.824663961
10050, 23.5996111762, 208903.171782, 19.8386183458
10100, 23.6320303036, 209942.495543, 19.8526607253
10150, 23.6659750627, 210981.81947, 19.866797589
10200, 23.7015180138, 212021.143577, 19.8810356827
10250, 23.7387335704, 213060.467877, 19.8953820125
10300, 23.777698004, 214099.792382, 19.9098438489
10350, 23.8184894475, 215139.117109, 19.9244287307
10400, 23.8611878969, 216178.442071, 19.9391444687
10450, 23.9058752103, 217217.767283, 19.9539991495
10500, 23.9526351062, 218257.092762, 19.9690011388
