---------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                           | Reference
---------------------|--------|------|----------------|--------------------|-----------------------------------------------|-----------
                     |        |      |                |                    |                                               |           
2s2.2p3              | 4S*    |  3/2 |         0.00   |              -     | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p3              | 2D*    |  5/2 |     41234.43   |              0.25  |  99                                           |    L17865
                     |        |  3/2 |     41278.89   |              0.24  | 100                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p3              | 2P*    |  1/2 |     62434.45   |              0.3   |  97                                           |    L17865
                     |        |  3/2 |     62440.78   |              0.3   |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p4               | 4P     |  5/2 |    183862.7    |              2.2   |  99                                           |    L17865
                     |        |  3/2 |    184476.7    |              1.9   |  99                                           |    L17865
                     |        |  1/2 |    184799.2    |              2.0   |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p4               | 2D     |  5/2 |    254079.6    |              1.4   |  99                                           |    L17865
                     |        |  3/2 |    254100.7    |              1.4   |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p4               | 2S     |  1/2 |    299627.4    |              2.0   |  99                                           |    L17865
                     |        |      |                |                    |                                               |           
2s.2p4               | 2P     |  3/2 |    320022.7    |              1.7   |  98                                           |    L17865
                     |        |  1/2 |    320738.1    |              1.8   |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).3s      | 4P     |  1/2 |    478690.95   |              0.20  |  97                                           |    L17865
                     |        |  3/2 |    479072.60   |              -     |  97                                           |    L17865
                     |        |  5/2 |    479650.08   |              0.14  |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2p5                  | 2P*    |  3/2 |    484901.0    |              2.1   |  95                                           |    L17865
                     |        |  1/2 |    485863.1    |              3     |  95                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).3s      | 2P     |  1/2 |    488500.56   |              0.3   |  98                                           |    L17865
                     |        |  3/2 |    489207.75   |              0.3   |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(1D).3s      | 2D     |  5/2 |    511720.49   |              0.4   |  98                                           |    L17865
                     |        |  3/2 |    511727.29   |              0.4   |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).3p      | 2S*    |  1/2 |    515421.65   |              0.4   |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).3p      | 4D*    |  1/2 |    521003.01   |              0.24  |  97                                           |    L17865
                     |        |  3/2 |    521215.43   |              0.22  |  97                                           |    L17865
                     |        |  5/2 |    521566.52   |              0.16  |  97                                           |    L17865
                     |        |  7/2 |    522046.27   |              0.22  |  98                                           |    L17865
                     |        |      |                |                    |                                               |           
2s2.2p2.(3P).3p      | 4P*    |  1/2 |    524496.95   |              0.22  |  97                                           |    L17865
                     |        |  3/2 |    524665.34   |              0.21  |  97                                           |    L17865
                     |        |  5/2 |    525011.22   |              0.22  |  97                                           |    L17865
                     |        |      |                |                    |                                               |           
