T, Cp, H, S
200, 21.8965547316, 5003.18180877, 203.14951212747238
300, 21.278390649, 7155.86744486, 216.42046567501373
400, 21.0603339413, 9271.23757562, 225.57421444038656
500, 20.9601215351, 11371.6967527, 232.55168553426003
600, 20.9061346213, 13464.7606812, 238.18597218559339
700, 20.8738207773, 15553.6323776, 242.90951851911075
800, 20.8529776918, 17639.9018524, 246.97521301244458
900, 20.838762023, 19724.4464677, 250.54359734668935
1000, 20.828638722, 21807.7895166, 253.72290556436505
1100, 20.8211794961, 23890.2624033, 256.58954166613387
1200, 20.8155356965, 25972.0855777, 259.19943654909827
1300, 20.8111895272, 28053.4125728, 261.5947577409793
1400, 20.8078316782, 30134.3562675, 263.80808014838016
1500, 20.8052997414, 32215.0063133, 265.8650891372409
1600, 20.8035456501, 34295.4420396, 267.7863947382141
1700, 20.8026155624, 36375.7428234, 269.58878598433125
1800, 20.8026335875, 38455.9966872, 271.2861206017774
1900, 20.8037854584, 40536.3072866, 272.889970227417
2000, 20.8063010763, 42616.7992083, 274.4100975254373
2100, 20.8104363804, 44697.6214824, 275.8548151146733
2200, 20.8164556262, 46778.9492915, 277.23125974204385
2300, 20.8246152144, 48860.9839767, 278.5456045995826
2400, 20.8351499596, 50943.9515426, 279.8032257789707
2500, 20.8482623287, 53028.0999343, 281.00883423600425
2600, 20.8641148173, 55113.6953956, 282.16658148248956
2700, 20.8828253453, 57201.0182176, 283.28014503055755
2800, 20.9044653532, 59290.3581654, 284.35279806576716
2900, 20.929060166, 61382.0098308, 285.3874667151764
3000, 20.9565911458, 63476.268116, 286.38677746979295
3100, 20.9869991663, 65573.4240015, 287.35309672720376
3200, 21.0201889779, 67673.7607103, 288.288563978403
3300, 21.0560340945, 69777.5503363, 289.1951198305828
3400, 21.0943818973, 71885.0509755, 290.0745298053487
3500, 21.1350587181, 73996.5043676, 290.92840465850526
3600, 21.1778747223, 76112.134038, 291.7582178182205
3700, 21.2226284688, 78232.1439117, 292.5653204220994
3800, 21.2691110637, 80356.7173642, 293.35095434252383
3900, 21.3171098638, 82486.0166651, 294.11626351762936
4000, 21.366411712, 84620.1827693, 294.8623038480892
4100, 21.4168057073, 86759.3354073, 295.59005187414834
4200, 21.4680855283, 88903.573431, 296.30041241058547
4300, 21.5200513382, 91052.9753703, 296.99422528755184
4400, 21.5725113056, 93207.6001604, 297.67227132107575
4500, 21.6252827794, 95367.4880038, 298.3352776172831
4600, 21.6781931567, 97532.6613345, 298.9839222981808
4700, 21.7310804827, 99703.1258545, 299.61883872348574
4800, 21.7837938184, 101878.871619, 300.2406192719064
4900, 21.8361934123, 104059.874148, 300.8498187360718
5000, 21.8881507068, 106246.095546, 301.4469573775991
5100, 21.9395482088, 108437.485617, 302.03252368232603
5200, 21.990279249, 110633.98296, 302.6069768502928
5300, 22.0402476548, 112835.516035, 303.17074905045035
5400, 22.0893673542, 115042.00419, 303.7242474661604
5500, 22.13756193, 117253.358658, 304.2678561542249
5600, 22.1847641369, 119469.483488, 304.8019377373346
5700, 22.2309153961, 121690.276445, 305.32683494737967
