T, Cp, H, S
200, 134.244061017, 13403.5366949, asdf673.191665895
250, 50.8122796072, 17648.8533696, asdf690.631887819
300, 29.5566489577, 19533.3375102, asdf696.044828537
350, 24.0986995102, 20847.596819, asdf698.825595735
400, 22.3151019774, 22000.6445046, asdf700.797325293
450, 21.6021374111, 23096.1455817, asdf702.399467301
500, 21.2704901788, 24167.0036157, asdf703.780279082
550, 21.0975064296, 25225.7735083, asdf705.006187612
600, 20.9989568723, 26277.9712131, asdf706.11386035
650, 20.9387730256, 27326.2990518, asdf707.126600475
700, 20.8999100709, 28372.1995966, asdf708.060641828
750, 20.8736446801, 29416.4979605, asdf708.927996624
800, 20.8552097665, 30459.6935127, asdf709.737926036
850, 20.8418536326, 31502.1030064, asdf710.497782767
900, 20.831912646, 32543.9354656, asdf711.213533953
950, 20.8243403642, 33585.3335533, asdf711.890106074
1000, 20.8184556485, 34626.3975071, asdf712.531623327
1050, 20.813801717, 35667.1995542, asdf713.141578445
1100, 20.8100641119, 36707.7929005, asdf713.722958694
1150, 20.8070212779, 37748.217511, asdf714.278340957
1200, 20.804513861, 38788.5039286, asdf714.809964908
1250, 20.8024251086, 39828.6758586, asdf715.319790222
1300, 20.8006680467, 40868.7519561, asdf715.80954193
1350, 20.7991769032, 41908.7470868, asdf716.280746814
1400, 20.7979012566, 42948.6732318, asdf716.734762919
1450, 20.7968019687, 43988.5401472, asdf717.172803714
1500, 20.7958483122, 45028.3558524, asdf717.595958034
1550, 20.7950159098, 46068.1269966, asdf718.005206676
1600, 20.7942852344, 47107.8591368, asdf718.401436303
1650, 20.793640505, 48147.5569509, asdf718.78545116
1700, 20.793068862, 49187.2244041, asdf719.157983024
1750, 20.7925597465, 50226.8648782, asdf719.519699681
1800, 20.7921044264, 51266.4812745, asdf719.871212199
1850, 20.791695632, 52306.0760956, asdf720.213081188
1900, 20.7913272742, 53345.6515111, asdf720.545822223
1950, 20.7909942221, 54385.209411, asdf720.869910546
2000, 20.7906921292, 55424.751449, asdf721.185785179
2050, 20.7904172942, 56464.279078, asdf721.493852519
2100, 20.7901665501, 57503.7935797, asdf721.794489494
2150, 20.7899371747, 58543.2960889, asdf722.088046351
2200, 20.7897268178, 59582.7876139, asdf722.374849123
2250, 20.7895334424, 60622.2690536, asdf722.655201805
2300, 20.789355276, 61661.7412115, asdf722.929388308
2350, 20.7891907704, 62701.2048087, asdf723.197674185
2400, 20.7890385689, 63740.6604936, asdf723.460308183
2450, 20.7888974785, 64780.1088507, asdf723.717523638
2500, 20.7887664469, 65819.550409, asdf723.969539716
2550, 20.7886445431, 66858.9856475, asdf724.216562544
2600, 20.788530941, 67898.4150016, asdf724.458786222
