T, Cp, H, S
200, 29.1233616736, 5237.98288513, 207.56411158531495
250, 29.2852739245, 6675.14340281, 215.32296744051152
300, 44.5618130316, 8408.19640895, 221.79111311797237
350, 97.9778431438, 11791.9634808, 227.73516558384802
400, 165.109489856, 18489.7672826, 234.09705055461293
450, 168.069566667, 27151.4023399, 241.36499086147003
500, 121.221358211, 34449.9561203, 249.10137932438093
550, 78.706741527, 39377.0803383, 256.6234726972277
600, 53.2043407825, 42612.0208687, 263.5671577119802
650, 39.4232132585, 44891.9846511, 269.84532286677813
700, 31.9885128278, 46658.7190559, 275.4927364365826
750, 27.842844387, 48144.8440911, 280.58083970897303
800, 25.4303232215, 49471.4855833, 285.184434661975
850, 23.9646090794, 50703.4589457, 289.37093016695195
900, 23.037651077, 51876.8270931, 293.1979895345154
950, 22.4297590583, 53012.4908837, 296.71401769599595
1000, 22.0179861708, 54123.0443722, 299.959440363518
1050, 21.7309122493, 55216.352667, 302.9680567178059
1100, 21.5255850225, 56297.4893335, 305.76823916085044
1150, 21.3753395553, 57369.8240302, 308.38393185808854
1200, 21.2631372076, 58435.6541824, 310.8354604016456
1250, 21.177801413, 59496.5835438, 313.1401817733019
1300, 21.1118244325, 60553.7556945, 315.31300494122314
1350, 21.0600528415, 61608.0019037, 317.3668085818968
1400, 21.0188789335, 62659.9370425, 319.31277756648694
1450, 20.9857312995, 63710.023182, 321.16067536995195
1500, 20.9587467582, 64758.6126216, 322.9190658304996
1550, 20.9365547567, 65805.977543, 324.5954947173229
1600, 20.9181330163, 66852.330798, 326.19663925005705
1650, 20.9027091975, 67897.8407102, 327.728431926248
1700, 20.8896928361, 68942.6417685, 329.1961636374652
1750, 20.8786275283, 69986.8424564, 330.60456999517663
1800, 20.8691568753, 71030.5310574, 331.957903969409
1850, 20.8609999143, 72073.7800072, 333.25999730903095
1900, 20.8539331804, 73116.6491949, 334.51431271866926
1950, 20.8477774611, 74159.1884899, 335.723988380758
2000, 20.8423879149, 75201.4396957, 336.89187610717005
2050, 20.8376466237, 76243.4380739, 338.02057416440255
2100, 20.8334569306, 77285.2135421, 339.1124556251203
