T, Cp, H, S
200, 38.3327858218, 4952.64601785, 212.97707502658614
250, 55.0391037954, 7306.42855689, 220.80377283944043
300, 60.6693824018, 10259.5642684, 228.0994954048483
350, 55.0552042537, 13181.6640141, 234.93805777217366
400, 46.3791418007, 15717.2151244, 241.20166232560686
450, 39.0278307027, 17843.6760869, 246.83912472900127
500, 33.759576356, 19655.2450486, 251.87949187178913
550, 30.1643660648, 21247.5318876, 256.38849909087656
600, 27.7204754815, 22690.7863819, 260.43898105088203
650, 26.0358248615, 24032.1585628, 264.0981577592754
700, 24.8504162478, 25302.6383872, 267.4238462332579
750, 23.9975567369, 26522.7101633, 270.46436034271676
800, 23.3704690916, 27706.1366328, 273.25965532115913
850, 22.8998957169, 28862.3529214, 275.8427252479987
900, 22.5401032333, 29997.9644668, 278.2408972268423
950, 22.2602909889, 31117.6910187, 280.47692253480085
1000, 22.0393001851, 32224.9704759, 282.56986096237387
1050, 21.8623151558, 33322.3521515, 284.53578554700346
1100, 21.7187728416, 34411.7577864, 286.38834086970667
1150, 21.6010141136, 35494.6580598, 288.13918527702924
1200, 21.5033978306, 36572.1941253, 289.79834221127186
1250, 21.421708498, 37645.2627318, 291.37448065066957
1300, 21.3527534647, 38714.5768051, 292.8751402292644
1350, 21.2940845765, 39780.7092125, 294.3069130518117
1400, 21.2438028984, 40844.1248242, 295.6755914536404
1450, 21.200419755, 41905.2043075, 296.9862888346105
1500, 21.162756519, 42964.2620011, 298.24353907961984
1550, 21.1298714371, 44021.5594946, 299.4513788471864
1600, 21.1010055692, 45077.3160533, 300.6134160688896
1650, 21.0755424086, 46131.7167016, 301.7328872841337
1700, 21.0529774096, 47184.9185479, 302.8127058826206
1750, 21.0328947686, 48237.055776, 303.85550290048474
1800, 21.014949571, 49288.2436173, 304.8636616848762
1850, 20.9988539458, 50338.5815338, 305.8393474831817
1900, 20.984366243, 51388.1557897, 306.78453281000355
1950, 20.9712825073, 52437.0415405, 307.7010192846767
