
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 106671.70769984958
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 106671.70769984958
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 106671.70769984958
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 106671.70769984958
1s2.2s2.2p3(4.0S).5g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 106671.70769984958

1s2.2s2.2p3(4.0S).5g1--3.0G[5.0, 4.0, 3.0], 5.0, 106671.70769984958
1s2.2s2.2p3(4.0S).5g1--3.0G[5.0, 4.0, 3.0], 4.0, 106671.70769984958
1s2.2s2.2p3(4.0S).5g1--3.0G[5.0, 4.0, 3.0], 3.0, 106671.70769984958

1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 7.0, 107047.592275
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 6.0, 107047.592275
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 5.0, 107047.592275
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 4.0, 107047.592275
1s2.2s2.2p3(4.0S).6h1--5.0H[7.0, 6.0, 5.0, 4.0, 3.0], 3.0, 107047.592275

1s2.2s2.2p3(4.0S).6h1--3.0H[6.0, 5.0, 4.0], 6.0, 107047.592275
1s2.2s2.2p3(4.0S).6h1--3.0H[6.0, 5.0, 4.0], 5.0, 107047.592275
1s2.2s2.2p3(4.0S).6h1--3.0H[6.0, 5.0, 4.0], 4.0, 107047.592275

1s2.2s2.2p3(2.0D).3p1--3.0P[2.0, 1.0, 0.0], 2.0, 123075.586446
1s2.2s2.2p3(2.0D).3p1--3.0P[2.0, 1.0, 0.0], 1.0, 123075.586446
1s2.2s2.2p3(2.0D).3p1--3.0P[2.0, 1.0, 0.0], 0.0, 123075.586446

1s2.2s2.2p3(2.0P).3p1--3.0P[2.0, 1.0, 0.0], 2.0, 125593.467789
1s2.2s2.2p3(2.0P).3p1--3.0P[2.0, 1.0, 0.0], 1.0, 125593.467789
1s2.2s2.2p3(2.0P).3p1--3.0P[2.0, 1.0, 0.0], 0.0, 125593.467789

1s2.2s2.2p3(2.0P).3p1--3.0S[1.0], 1.0, 128623.282667

1s2.2s2.2p3(2.0D).4f1--3.0D[3.0, 2.0, 1.0], 3.0, 129175.216582
1s2.2s2.2p3(2.0D).4f1--3.0D[3.0, 2.0, 1.0], 2.0, 129175.216582
1s2.2s2.2p3(2.0D).4f1--3.0D[3.0, 2.0, 1.0], 1.0, 129175.216582

1s2.2s2.2p3(2.0D).4p1--1.0D[2.0], 2.0, 129486.126914

1s2.2s2.2p3(2.0D).4f1--1.0D[2.0], 2.0, 129486.126914

1s2.2s2.2p3(2.0D).4p1--3.0F[4.0, 3.0, 2.0], 4.0, 129910.90891
1s2.2s2.2p3(2.0D).4p1--3.0F[4.0, 3.0, 2.0], 3.0, 129910.90891
1s2.2s2.2p3(2.0D).4p1--3.0F[4.0, 3.0, 2.0], 2.0, 129910.90891

1s2.2s2.2p3(2.0D).4f1--3.0F[4.0, 3.0, 2.0], 4.0, 129910.90891
1s2.2s2.2p3(2.0D).4f1--3.0F[4.0, 3.0, 2.0], 3.0, 129910.90891
1s2.2s2.2p3(2.0D).4f1--3.0F[4.0, 3.0, 2.0], 2.0, 129910.90891

1s2.2s2.2p3(2.0D).5f1--3.0H[6.0, 5.0, 4.0], 6.0, 130147.24852642696
1s2.2s2.2p3(2.0D).5f1--3.0H[6.0, 5.0, 4.0], 5.0, 130147.24852642696
1s2.2s2.2p3(2.0D).5f1--3.0H[6.0, 5.0, 4.0], 4.0, 130147.24852642696

1s2.2s2.2p3(2.0D).5g1--3.0H[6.0, 5.0, 4.0], 6.0, 130147.24852642696
1s2.2s2.2p3(2.0D).5g1--3.0H[6.0, 5.0, 4.0], 5.0, 130147.24852642696
1s2.2s2.2p3(2.0D).5g1--3.0H[6.0, 5.0, 4.0], 4.0, 130147.24852642696

1s2.2s2.2p3(2.0D).5f1--1.0H[5.0], 5.0, 130165.5832910077

1s2.2s2.2p3(2.0D).5g1--1.0H[5.0], 5.0, 130165.5832910077

1s2.2s2.2p3(2.0D).4f1--1.0G[4.0], 4.0, 130190.775913

1s2.2s2.2p3(2.0D).6f1--3.0H[6.0, 5.0, 4.0], 6.0, 130485.9127513052
1s2.2s2.2p3(2.0D).6f1--3.0H[6.0, 5.0, 4.0], 5.0, 130485.9127513052
1s2.2s2.2p3(2.0D).6f1--3.0H[6.0, 5.0, 4.0], 4.0, 130485.9127513052

1s2.2s2.2p3(2.0D).6g1--3.0H[6.0, 5.0, 4.0], 6.0, 130485.9127513052
1s2.2s2.2p3(2.0D).6g1--3.0H[6.0, 5.0, 4.0], 5.0, 130485.9127513052
1s2.2s2.2p3(2.0D).6g1--3.0H[6.0, 5.0, 4.0], 4.0, 130485.9127513052

1s2.2s2.2p3(2.0D).6h1--3.0H[6.0, 5.0, 4.0], 6.0, 130485.9127513052
1s2.2s2.2p3(2.0D).6h1--3.0H[6.0, 5.0, 4.0], 5.0, 130485.9127513052
1s2.2s2.2p3(2.0D).6h1--3.0H[6.0, 5.0, 4.0], 4.0, 130485.9127513052

1s2.2s2.2p3(2.0D).6f1--1.0H[5.0], 5.0, 130502.83658074775

1s2.2s2.2p3(2.0D).6g1--1.0H[5.0], 5.0, 130502.83658074775

1s2.2s2.2p3(2.0D).6h1--1.0H[5.0], 5.0, 130502.83658074775

1s2.2s2.2p3(2.0D).5d1--1.0S[0.0], 0.0, 131204.492398

1s2.2s2.2p3(2.0D).4p1--1.0F[3.0], 3.0, 131361.474988

