config, term, J, epsion
2s2.2p, 2P, 0.5, 0.00
2s2.2p, 2P, 1.5, 63.42

2s.2p2, 4P, 0.5, 43003.3
2s.2p2, 4P, 1.5, 43025.3
2s.2p2, 4P, 2.5, 43053.6

2s.2p2, 2D, 2.5, 74930.10
2s.2p2, 2D, 1.5, 74932.62

2s.2p2, 2S, 0.5, 96493.74

2s.2p2, 2P, 0.5, 110624.17
2s.2p2, 2P, 1.5, 110665.56

2s2.3s, 2S, 0.5, 116537.65

2s2.3p, 2P, 0.5, 131724.37
2s2.3p, 2P, 1.5, 131735.52

2p3, 4S, 1.5, 142027.1

2s2.3d, 2D, 1.5, 145549.27
2s2.3d, 2D, 2.5, 145550.70

2p3, 2D, 2.5, 150461.58
2p3, 2D, 1.5, 150466.69

2s2.4s, 2S, 0.5, 157234.07

2s2.4p, 2P, 0.5, 162517.89
2s2.4p, 2P, 1.5, 162524.57

2s.2p.(3P).3s, 4P, 0.5, 166967.13
2s.2p.(3P).3s, 4P, 1.5, 166990.73
2s.2p.(3P).3s, 4P, 2.5, 167035.71

2s2.4d, 2D, 1.5, 168123.74
2s2.4d, 2D, 2.5, 168124.45

2p3, 2P, 0.5, 168729.53
2p3, 2P, 1.5, 168748.30

2s2.4f, 2F, 2.5, 168978.34
2s2.4f, 2F, 3.5, 168978.34

2s2.5s, 2S, 0.5, 173347.84

2s2.5p, 2P, 0.5, 175287.39
2s2.5p, 2P, 1.5, 175294.75

2s.2p.(3P).3s, 2P, 0.5, 177774.59
2s.2p.(3P).3s, 2P, 1.5, 177793.54

2s2.5d, 2D, 1.5, 178495.11
2s2.5d, 2D, 2.5, 178495.71

2s2.5f, 2F, 3.5, 178955.94
2s2.5f, 2F, 2.5, 178955.94

2s2.5g, 2G, 4.5, 179073.05
2s2.5g, 2G, 3.5, 179073.05

2s2.6s, 2S, 0.5, 181264.24

2s.2p.(3P).3p, 4D, 0.5, 181696.66
2s.2p.(3P).3p, 4D, 1.5, 181711.03
2s.2p.(3P).3p, 4D, 2.5, 181736.05
2s.2p.(3P).3p, 4D, 3.5, 181772.41

2s.2p.(3P).3p, 2P, 0.5, 182023.86
2s.2p.(3P).3p, 2P, 1.5, 182043.41

2s2.6p, 2P, 0.5, 182993.23
2s2.6p, 2P, 1.5, 182993.66

2s2.6d, 2D, 1.5, 184074.59
2s2.6d, 2D, 2.5, 184075.28

2s2.6f, 2F, 2.5, 184376.06
2s2.6f, 2F, 3.5, 184376.06

2s2.6g, 2G, 4.5, 184449.27
2s2.6g, 2G, 3.5, 184449.27

2s2.6h, 2H, 5.5, 184466.5
2s2.6h, 2H, 4.5, 184466.5

2s.2p.(3P).3p, 4S, 1.5, 184690.98

2s2.7s, 2S, 0.5, 185732.93

2s.2p.(3P).3p, 4P, 0.5, 186427.35
2s.2p.(3P).3p, 4P, 1.5, 186443.69
2s.2p.(3P).3p, 4P, 2.5, 186466.02

2s2.7p, 2P, 0.5, 186745.9
2s2.7p, 2P, 1.5, 186746.3

2s2.7d, 2D, 1.5, 187353.0
2s2.7d, 2D, 2.5, 187353.0

2s2.7f, 2F, 2.5, 187641.6
2s2.7f, 2F, 3.5, 187641.6

2s2.7g, 2G, 4.5, 187691.4
2s2.7g, 2G, 3.5, 187691.4

2s2.7h, 2H, 5.5, 187701
2s2.7h, 2H, 4.5, 187701

2s.2p.(3P).3p, 2D, 1.5, 188581.25
2s.2p.(3P).3p, 2D, 2.5, 188615.07

2s2.8g, 2G, 4.5, 189794.2
2s2.8g, 2G, 3.5, 189794.2

2s.2p.(3P).3d, 4F, 1.5, 195752.58
2s.2p.(3P).3d, 4F, 2.5, 195765.85
2s.2p.(3P).3d, 4F, 3.5, 195785.74
2s.2p.(3P).3d, 4F, 4.5, 195813.66

2s.2p.(3P).3d, 4D, 0.5, 196557.87
2s.2p.(3P).3d, 4D, 1.5, 196563.41
2s.2p.(3P).3d, 4D, 2.5, 196571.82
2s.2p.(3P).3d, 4D, 3.5, 196581.96



2s.2p.(3P).3d, 2D, 1.5, 198425.43
2s.2p.(3P).3d, 2D, 2.5, 198436.31

2s.2p.(3P).3d, 4P, 2.5, 198844.00
2s.2p.(3P).3d, 4P, 1.5, 198865.25
2s.2p.(3P).3d, 4P, 0.5, 198879.01

2s.2p.(3P).3d, 2F, 2.5, 199941.41
2s.2p.(3P).3d, 2F, 3.5, 199983.24

2s.2p.(3P).3d, 2P, 1.5, 202179.85
2s.2p.(3P).3d, 2P, 0.5, 202204.52

2s.2p.(3P).4s, 4P, 0.5, 209552.36
2s.2p.(3P).4s, 4P, 1.5, 209576.46
2s.2p.(3P).4s, 4P, 2.5, 209622.32

2s.2p.(3P).4p, 2P, 0.5, 214404.33
2s.2p.(3P).4p, 2P, 1.5, 214429.95

2s.2p.(3P).4p, 4D, 0.5, 214759.91
2s.2p.(3P).4p, 4D, 1.5, 214772.84
2s.2p.(3P).4p, 4D, 2.5, 214795.27
2s.2p.(3P).4p, 4D, 3.5, 214829.77

2s.2p.(3P).4p, 4S, 1.5, 215767.77

2s.2p.(3P).4p, 4P, 0.5, 216362.84
2s.2p.(3P).4p, 4P, 1.5, 216379.59
2s.2p.(3P).4p, 4P, 2.5, 216400.57

2s.2p.(3P).4p, 2D, 2.5, 216927

2s.2p.(3P).4d, 4F, 1.5, 219556.54
2s.2p.(3P).4d, 4F, 2.5, 219570.15
2s.2p.(3P).4d, 4F, 3.5, 219590.76
2s.2p.(3P).4d, 4F, 4.5, 219619.88

2s.2p.(3P).4d, 4D, 0.5, 220125.51
2s.2p.(3P).4d, 4D, 1.5, 220130.86
2s.2p.(3P).4d, 4D, 2.5, 220139.41
2s.2p.(3P).4d, 4D, 3.5, 220150.49

2s.2p.(3P).4d, 2D, 1.5, 220601.53
2s.2p.(3P).4d, 2D, 2.5, 220614.51

2s.2p.(3P).4d, 4P, 2.5, 220811.69
2s.2p.(3P).4d, 4P, 1.5, 220832.15
2s.2p.(3P).4d, 4P, 0.5, 220845.07

2s.2p.(3P).4f, 2F, 2.5, 221088.88
2s.2p.(3P).4f, 2F, 3.5, 221097.92

2s.2p.(3P).4f, 4F, 1.5, 221093.95
2s.2p.(3P).4f, 4F, 2.5, 221099.11
2s.2p.(3P).4f, 4F, 3.5, 221105.73
2s.2p.(3P).4f, 4F, 4.5, 221109.78

2s.2p.(3P).4d, 2F, 2.5, 221460.88
2s.2p.(3P).4d, 2F, 3.5, 221503.33

2s.2p.(3P).4f, 4G, 2.5, 221544.81
2s.2p.(3P).4f, 4G, 3.5, 221553.99
2s.2p.(3P).4f, 4G, 4.5, 221575.61
2s.2p.(3P).4f, 4G, 5.5, 221604.90

2s.2p.(3P).4f, 2G, 3.5, 221587.12
2s.2p.(3P).4f, 2G, 4.5, 221625.72

2s.2p.(3P).4f, 4D, 3.5, 221698.48
2s.2p.(3P).4f, 4D, 2.5, 221707.71
2s.2p.(3P).4f, 4D, 1.5, 221729.69
2s.2p.(3P).4f, 4D, 0.5, 221742.79

2s.2p.(3P).4f, 2D, 2.5, 221729.92
2s.2p.(3P).4f, 2D, 1.5, 221752.26

2s.2p.(3P).4d, 2P, 1.5, 222258.8
2s.2p.(3P).4d, 2P, 0.5, 222285.7

2s.2p.(3P).5s, 4P, 0.5, 225748.0
2s.2p.(3P).5s, 4P, 1.5, 225771.8
2s.2p.(3P).5s, 4P, 2.5, 225817.8

2s.2p.(3P).5p, 2P, 0.5, 227881.21
2s.2p.(3P).5p, 2P, 1.5, 227907.71

2s.2p.(3P).5p, 4D, 0.5, 228178.6
2s.2p.(3P).5p, 4D, 1.5, 228191.9
2s.2p.(3P).5p, 4D, 2.5, 228211.8
2s.2p.(3P).5p, 4D, 3.5, 228246.97

2s.2p.(3P).5p, 4S, 1.5, 228656.84

2s.2p.(3P).5p, 4P, 1.5, 228947.4
2s.2p.(3P).5p, 4P, 2.5, 228967.49

2s.2p.(3P).5d, 4F, 1.5, 230419
2s.2p.(3P).5d, 4F, 2.5, 230433
2s.2p.(3P).5d, 4F, 3.5, 230458
2s.2p.(3P).5d, 4F, 4.5, 230485.5

2s.2p.(3P).5d, 4D, 1.5, 230755.1
2s.2p.(3P).5d, 4D, 2.5, 230762.6
2s.2p.(3P).5d, 4D, 3.5, 230774.9

2s.2p.(3P).5d, 4P, 2.5, 231052.9
2s.2p.(3P).5d, 4P, 1.5, 231071.7
2s.2p.(3P).5d, 4P, 0.5, 231086.6

2s.2p.(3P).5f, 2F, 2.5, 231209.25
2s.2p.(3P).5f, 2F, 3.5, 231217.20

2s.2p.(3P).5f, 4F, 1.5, 231213.1
2s.2p.(3P).5f, 4F, 2.5, 231216.62
2s.2p.(3P).5f, 4F, 3.5, 231225.13
2s.2p.(3P).5f, 4F, 4.5, 231228.67

2s.2p.(3P).5f, 4G, 2.5, 231437.7
2s.2p.(3P).5f, 4G, 3.5, 231451.3
2s.2p.(3P).5f, 4G, 4.5, 231473.5
2s.2p.(3P).5f, 4G, 5.5, 231502.3

2s.2p.(3P).5f, 2G, 3.5, 231480.7
2s.2p.(3P).5f, 2G, 4.5, 231519.2

2s.2p.(3P).5f, 4D, 3.5, 231523.87
2s.2p.(3P).5f, 4D, 2.5, 231528.39
2s.2p.(3P).5f, 4D, 1.5, 231551.2
2s.2p.(3P).5f, 4D, 0.5, 231567

2s.2p.(3P).5f, 2D, 2.5, 231551.2
2s.2p.(3P).5f, 2D, 1.5, 231570.4

2s.2p.(3P).6s, 4P, 0.5, 233670.9
2s.2p.(3P).6s, 4P, 1.5, 233693.3
2s.2p.(3P).6s, 4P, 2.5, 233740.7

2s.2p.(3P).6p, 4D, 0.5, 234998
2s.2p.(3P).6p, 4D, 1.5, 235011
2s.2p.(3P).6p, 4D, 2.5, 235031
2s.2p.(3P).6p, 4D, 3.5, 235066.8

2s.2p.(3P).6p, 4P, 2.5, 235454.2

2s.2p.(3P).6d, 4D, 3.5, 236446

2s.2p.(3P).6d, 4P, 2.5, 236607

2s.2p.(3P).6f, 2F, 2.5, 236693
2s.2p.(3P).6f, 2F, 3.5, 236703

2s.2p.(3P).6f, 4F, 1.5, 236693
2s.2p.(3P).6f, 4F, 2.5, 236698
2s.2p.(3P).6f, 4F, 3.5, 236707
2s.2p.(3P).6f, 4F, 4.5, 236708.1

2s.2p.(3P).6f, 4G, 2.5, 236813
2s.2p.(3P).6f, 4G, 3.5, 236823.3
2s.2p.(3P).6f, 4G, 4.5, 236843.2
2s.2p.(3P).6f, 4G, 5.5, 236881.2

2s.2p.(3P).6f, 2G, 3.5, 236856.6
2s.2p.(3P).6f, 2G, 4.5, 236889.7

2s.2p.(3P).6f, 4D, 3.5, 236877.8







