config, term, J, epsion
2s2.2p2, 3P, 0, 0.0000000
2s2.2p2, 3P, 1, 16.4167130
2s2.2p2, 3P, 2, 43.4134567

2s2.2p2, 1D, 2, 10192.657

2s2.2p2, 1S, 0, 21648.030

2s.2p3, 5S, 2, 33735.121

2s2.2p.3s, 3P, 0, 60333.4476
2s2.2p.3s, 3P, 1, 60352.6584
2s2.2p.3s, 3P, 2, 60393.1693

2s2.2p.3s, 1P, 1, 61981.83211

2s.2p3, 3D, 3, 64086.96961
2s.2p3, 3D, 1, 64089.8990
2s.2p3, 3D, 2, 64090.99351

2s2.2p.3p, 1P, 1, 68856.35208

2s2.2p.3p, 3D, 1, 69689.49393
2s2.2p.3p, 3D, 2, 69710.68728
2s2.2p.3p, 3D, 3, 69744.05213

2s2.2p.3p, 3S, 1, 70743.97227

2s2.2p.3p, 3P, 0, 71352.54344
2s2.2p.3p, 3P, 1, 71364.93596
2s2.2p.3p, 3P, 2, 71385.40992

2s2.2p.3p, 1D, 2, 72610.73530

2s2.2p.3p, 1S, 0, 73975.92785

2s.2p3, 3P, 1, 75254.0017
2s.2p3, 3P, 2, 75255.29373
2s.2p3, 3P, 0, 75256.1696

2s2.2p.3d, 1D, 2, 77679.83311

2s2.2p.4s, 3P, 0, 78105.00058
2s2.2p.4s, 3P, 1, 78116.77336
2s2.2p.4s, 3P, 2, 78148.10824

2s2.2p.3d, 3F, 2, 78199.09144
2s2.2p.3d, 3F, 3, 78215.54012
2s2.2p.3d, 3F, 4, 78249.96676

2s2.2p.3d, 3D, 1, 78293.51263
2s2.2p.3d, 3D, 2, 78307.64625
2s2.2p.3d, 3D, 3, 78318.26602

2s2.2p.4s, 1P, 1, 78340.29782

2s2.2p.3d, 1F, 3, 78529.64651

2s2.2p.3d, 1P, 1, 78731.2956

2s2.2p.3d, 3P, 2, 79310.86822
2s2.2p.3d, 3P, 1, 79318.8093
2s2.2p.3d, 3P, 0, 79323.1883

2s2.2p.4p, 1P, 1, 80562.88550

2s2.2p.4p, 3D, 1, 80782.44916
2s2.2p.4p, 3D, 2, 80801.28887
2s2.2p.4p, 3D, 3, 80834.62491

2s2.2p.4p, 3S, 1, 81105.06418

2s2.2p.4p, 3P, 0, 81311.0544
2s2.2p.4p, 3P, 1, 81325.81077
2s2.2p.4p, 3P, 2, 81344.05485

2s2.2p.4p, 1D, 2, 81769.87089

2s2.2p.4p, 1S, 0, 82251.82041

2s2.2p.4d, 1D, 2, 83497.58690

2s2.2p.5s, 3P, 0, 83740.0964
2s2.2p.5s, 3P, 1, 83752.4388
2s2.2p.5s, 3P, 2, 83791.0880

2s2.2p.4d, 3F, 2, 83747.43248
2s2.2p.4d, 3F, 3, 83761.27417
2s2.2p.4d, 3F, 4, 83798.61582

2s2.2p.4d, 3D, 1, 83820.1576
2s2.2p.4d, 3D, 2, 83838.0728
2s2.2p.4d, 3D, 3, 83848.8700

2s2.2p.5s, 1P, 1, 83877.305

2s2.2p.4d, 1F, 3, 83947.2231

2s2.2p.4d, 1P, 1, 84032.1471

2s2.2p.4d, 3P, 2, 84103.1238
2s2.2p.4d, 3P, 1, 84116.1152
2s2.2p.4d, 3P, 0, 84121.2260

2s2.2p.5p, 1P, 1, 84851.4691

2s2.2p.5p, 3D, 1, 84935.362
2s2.2p.5p, 3D, 2, 84950.41
2s2.2p.5p, 3D, 3, 84985.0033

2s2.2p.5p, 3P, 0, 85169.66
2s2.2p.5p, 3P, 1, 85188.9670
2s2.2p.5p, 3P, 2, 85203.6756

2s2.2p.5p, 1D, 2, 85399.833

2s2.2p.5p, 1S, 0, 85625.190

2s2.2p.5d, 1D, 2, 86185.2332

2s2.2p.5d, 3F, 2, 86317.69
2s2.2p.5d, 3F, 3, 86327.1863
2s2.2p.5d, 3F, 4, 86369.385

2s2.2p.6s, 3P, 0, 86321.97
2s2.2p.6s, 3P, 1, 86331.651
2s2.2p.6s, 3P, 2, 86369.622

2s2.2p.5d, 3D, 1, 86362.54
2s2.2p.5d, 3D, 2, 86389.425
2s2.2p.5d, 3D, 3, 86397.83

2s2.2p.6s, 1P, 1, 86416.575

2s2.2p.5d, 1F, 3, 86449.208

2s2.2p.5d, 1P, 1, 86491.441

2s2.2p.5d, 3P, 2, 86506.7138
2s2.2p.5d, 3P, 1, 86519.506
2s2.2p.5d, 3P, 0, 86523.19

2s2.2p.6p, 1P, 1, 86912.89

2s2.2p.6p, 3D, 1, 86956.176
2s2.2p.6p, 3D, 2, 86965.494
2s2.2p.6p, 3D, 3, 87002.31

2s2.2p.6p, 3P, 0, 87077.402
2s2.2p.6p, 3P, 1, 87103.134
2s2.2p.6p, 3P, 2, 87113.239

2s2.2p.6p, 1D, 2, 87218.275

2s2.2p.6p, 1S, 0, 87341.05

2s2.2p.6d, 1D, 2, 87633.77

2s2.2p.6d, 3F, 2, 87708.22
2s2.2p.6d, 3F, 3, 87713.42
2s2.2p.6d, 3F, 4, 87760.63

2s2.2p.7s, 3P, 0, 87711.39
2s2.2p.7s, 3P, 1, 87718.583
2s2.2p.7s, 3P, 2, 87753.763

2s2.2p.6d, 3D, 1, 87735.33
2s2.2p.6d, 3D, 2, 87773.113
2s2.2p.6d, 3D, 3, 87777.18

2s2.2p.7s, 1P, 1, 87789.646

2s2.2p.6d, 1F, 3, 87806.95

2s2.2p.6d, 1P, 1, 87830.18

2s2.2p.6d, 3P, 2, 87832.568
2s2.2p.6d, 3P, 1, 87843.93
2s2.2p.6d, 3P, 0, 87845.1

2s2.2p.7p, 1P, 1, 88061.34

2s2.2p.7p, 3D, 1, 88092.00
2s2.2p.7p, 3D, 2, 88096.06
2s2.2p.7p, 3D, 3, 88135.84

2s2.2p.7p, 3P, 0, 88159.93
2s2.2p.7p, 3P, 1, 88192.34
2s2.2p.7p, 3P, 2, 88198.20

2s2.2p.7p, 1D, 2, 88260.38

2s2.2p.7p, 1S, 0, 88333.99




