config, term, J, epsion
1s2, 1S, 0, 0.0000

1s.2s, 3S, 1, 59855.9743297

1s.2s, 1S, 0, 66277.440141

1s.2p, 3P, 2, 69086.7664725
1s.2p, 3P, 1, 69086.8428979
1s.2p, 3P, 0, 69087.8308131

1s.2p, 1P, 1, 71134.896946

1s.3s, 3S, 1, 83236.79170

1s.3s, 1S, 0, 84864.82932

1s.3p, 3P, 2, 85564.561920
1s.3p, 3P, 1, 85564.583895
1s.3p, 3P, 0, 85564.854540

1s.3d, 3D, 3, 86101.5461767
1s.3d, 3D, 2, 86101.5486891
1s.3d, 3D, 1, 86101.5928903

1s.3d, 1D, 2, 86104.9666893

1s.3p, 1P, 1, 86209.364940

1s.4s, 3S, 1, 90298.113260

1s.4s, 1S, 0, 90940.226355

1s.4p, 3P, 2, 91217.040967
1s.4p, 3P, 1, 91217.049963
1s.4p, 3P, 0, 91217.160290

1s.4d, 3D, 3, 91444.4809292
1s.4d, 3D, 2, 91444.4821307
1s.4d, 3D, 1, 91444.5006512

1s.4d, 1D, 2, 91446.4557405

1s.4f, 3F, 3, 91451.87394878
1s.4f, 3F, 4, 91451.88108855
1s.4f, 3F, 2, 91451.88970691

1s.4f, 1F, 3, 91451.89746084

1s.4p, 1P, 1, 91492.711909

1s.5s, 3S, 1, 93346.991344

1s.5s, 1S, 0, 93663.512095

1s.5p, 3P, 2, 93800.707595
1s.5p, 3P, 1, 93800.712118
1s.5p, 3P, 0, 93800.767563

1s.5d, 3D, 3, 93917.15128741
1s.5d, 3D, 2, 93917.15192855
1s.5d, 3D, 1, 93917.16138710

1s.5d, 1D, 2, 93918.28990114

1s.5f, 3F, 3, 93921.11826439
1s.5f, 3F, 4, 93921.12134275
1s.5f, 3F, 2, 93921.12575310

1s.5f, 1F, 3, 93921.13088112

1s.5g, 3G, 4, 93921.614948739
1s.5g, 3G, 5, 93921.617719262
1s.5g, 3G, 3, 93921.620238142

1s.5g, 1G, 4, 93921.621933101

1s.5p, 1P, 1, 93942.462294

1s.6s, 3S, 1, 94936.119697

1s.6s, 1S, 0, 95114.868700

1s.6p, 3P, 2, 95192.7429742
1s.6p, 3P, 1, 95192.7455590
1s.6p, 3P, 0, 95192.7772813

1s.6d, 3D, 3, 95260.07135803
1s.6d, 3D, 2, 95260.07173649
1s.6d, 3D, 1, 95260.07720298

1s.6d, 1D, 2, 95260.77050808

1s.6f, 3F, 3, 95262.424216836
1s.6f, 3F, 4, 95262.425821479
1s.6f, 3F, 2, 95262.428373005

1s.6f, 1F, 3, 95262.431784358

1s.6g, 3G, 4, 95262.723082377
1s.6g, 3G, 5, 95262.724684231
1s.6g, 3G, 3, 95262.726141773

1s.6g, 1G, 4, 95262.727124343

1s.6h, 3H, 5, 95262.793050975
1s.6h, 3H, 6, 95262.794095149
1s.6h, 3H, 4, 95262.795042911

1s.6h, 1H, 5, 95262.795750108

1s.6p, 1P, 1, 95274.9084660

1s.7s, 3S, 1, 95868.236975

1s.7s, 1S, 0, 95978.895183

1s.7p, 3P, 2, 96027.3150267
1s.7p, 3P, 1, 96027.3166408
1s.7p, 3P, 0, 96027.3364649

1s.7d, 3D, 3, 96069.67280898
1s.7d, 3D, 2, 96069.67304998
1s.7d, 3D, 1, 96069.67648966

1s.7d, 1D, 2, 96070.12838342

1s.7f, 3F, 3, 96071.176177974
1s.7f, 3F, 4, 96071.177123492
1s.7f, 3F, 2, 96071.178729980

1s.7f, 1F, 3, 96071.181064965

1s.7g, 3G, 4, 96071.368738129
1s.7g, 3G, 5, 96071.369746173
1s.7g, 3G, 3, 96071.370663981

1s.7g, 1G, 4, 96071.371283543

1s.7h, 3H, 5, 96071.414512625
1s.7h, 3H, 6, 96071.415170183
1s.7h, 3H, 4, 96071.415767010

1s.7h, 1H, 5, 96071.416212368

1s.7i, 3I, 6, 96071.428891148
1s.7i, 3I, 7, 96071.429352355
1s.7i, 3I, 5, 96071.429772608

1s.7i, 1I, 6, 96071.430106489

1s.7p, 1P, 1, 96079.0875698

1s.8s, 3S, 1, 96461.3618105

1s.8s, 1S, 0, 96534.5641527

1s.8p, 3P, 2, 96566.7118220
1s.8p, 3P, 1, 96566.7128971
1s.8p, 3P, 0, 96566.7261046

1s.8d, 3D, 3, 96595.06220247
1s.8d, 3D, 2, 96595.06236505
1s.8d, 3D, 1, 96595.06466814

1s.8d, 1D, 2, 96595.37405237

1s.8f, 3F, 3, 96596.078760123
1s.8f, 3F, 4, 96596.079366013
1s.8f, 3F, 2, 96596.080442094

1s.8f, 1F, 3, 96596.082092602

1s.8g, 3G, 4, 96596.209656481
1s.8g, 3G, 5, 96596.210331441
1s.8g, 3G, 3, 96596.210946275

1s.8g, 1G, 4, 96596.211361727

1s.8h, 3H, 5, 96596.241066328
1s.8h, 3H, 6, 96596.241506841
1s.8h, 3H, 4, 96596.241906662

1s.8h, 1H, 5, 96596.242205021

1s.8i, 3I, 6, 96596.251052062
1s.8i, 3I, 7, 96596.251361035
1s.8i, 3I, 5, 96596.251642570

