Core Config, Excited Config, Term, J, Energy
1s1, 2s1, 3.0S[1.0], 1.0, 170891.13326913898
1s1, 2s1, 1.0S[0.0], 0.0, 170891.13326913898
1s1, 2p1, 3.0P[2.0, 1.0, 0.0], 2.0, 170891.13326913898
1s1, 2p1, 3.0P[2.0, 1.0, 0.0], 1.0, 170891.13326913898
1s1, 2p1, 3.0P[2.0, 1.0, 0.0], 0.0, 170891.13326913898
1s1, 2p1, 1.0P[1.0], 1.0, 170891.13326913898
1s1, 2d1, 3.0D[3.0, 2.0, 1.0], 3.0, 170891.13326913898
1s1, 2d1, 3.0D[3.0, 2.0, 1.0], 2.0, 170891.13326913898
1s1, 2d1, 3.0D[3.0, 2.0, 1.0], 1.0, 170891.13326913898
1s1, 2d1, 1.0D[2.0], 2.0, 170891.13326913898
1s1, 2f1, 3.0F[4.0, 3.0, 2.0], 4.0, 170891.13326913898
1s1, 2f1, 3.0F[4.0, 3.0, 2.0], 3.0, 170891.13326913898
1s1, 2f1, 3.0F[4.0, 3.0, 2.0], 2.0, 170891.13326913898
1s1, 2f1, 1.0F[3.0], 3.0, 170891.13326913898
1s1, 2g1, 3.0G[5.0, 4.0, 3.0], 5.0, 170891.13326913898
1s1, 2g1, 3.0G[5.0, 4.0, 3.0], 4.0, 170891.13326913898
1s1, 2g1, 3.0G[5.0, 4.0, 3.0], 3.0, 170891.13326913898
1s1, 2g1, 1.0G[4.0], 4.0, 170891.13326913898
1s1, 2h1, 3.0H[6.0, 5.0, 4.0], 6.0, 170891.13326913898
1s1, 2h1, 3.0H[6.0, 5.0, 4.0], 5.0, 170891.13326913898
1s1, 2h1, 3.0H[6.0, 5.0, 4.0], 4.0, 170891.13326913898
1s1, 2h1, 1.0H[5.0], 5.0, 170891.13326913898
1s1, 2i1, 3.0I[7.0, 6.0, 5.0], 7.0, 170891.13326913898
1s1, 2i1, 3.0I[7.0, 6.0, 5.0], 6.0, 170891.13326913898
1s1, 2i1, 3.0I[7.0, 6.0, 5.0], 5.0, 170891.13326913898
1s1, 2i1, 1.0I[6.0], 6.0, 170891.13326913898
1s1, 2j1, 3.0J[8.0, 7.0, 6.0], 8.0, 170891.13326913898
1s1, 2j1, 3.0J[8.0, 7.0, 6.0], 7.0, 170891.13326913898
1s1, 2j1, 3.0J[8.0, 7.0, 6.0], 6.0, 170891.13326913898
1s1, 2j1, 1.0J[7.0], 7.0, 170891.13326913898
1s1, 2k1, 3.0K[9.0, 8.0, 7.0], 9.0, 170891.13326913898
1s1, 2k1, 3.0K[9.0, 8.0, 7.0], 8.0, 170891.13326913898
1s1, 2k1, 3.0K[9.0, 8.0, 7.0], 7.0, 170891.13326913898
1s1, 2k1, 1.0K[8.0], 8.0, 170891.13326913898
1s1, 2l1, 3.0L[10.0, 9.0, 8.0], 10.0, 170891.13326913898
1s1, 2l1, 3.0L[10.0, 9.0, 8.0], 9.0, 170891.13326913898
1s1, 2l1, 3.0L[10.0, 9.0, 8.0], 8.0, 170891.13326913898
1s1, 2l1, 1.0L[9.0], 9.0, 170891.13326913898
1s1, 2m1, 3.0M[11.0, 10.0, 9.0], 11.0, 170891.13326913898
1s1, 2m1, 3.0M[11.0, 10.0, 9.0], 10.0, 170891.13326913898
1s1, 2m1, 3.0M[11.0, 10.0, 9.0], 9.0, 170891.13326913898
1s1, 2m1, 1.0M[10.0], 10.0, 170891.13326913898
1s1, 2n1, 3.0N[12.0, 11.0, 10.0], 12.0, 170891.13326913898
1s1, 2n1, 3.0N[12.0, 11.0, 10.0], 11.0, 170891.13326913898
1s1, 2n1, 3.0N[12.0, 11.0, 10.0], 10.0, 170891.13326913898
1s1, 2n1, 1.0N[11.0], 11.0, 170891.13326913898
1s1, 2o1, 3.0O[13.0, 12.0, 11.0], 13.0, 170891.13326913898
1s1, 2o1, 3.0O[13.0, 12.0, 11.0], 12.0, 170891.13326913898
1s1, 2o1, 3.0O[13.0, 12.0, 11.0], 11.0, 170891.13326913898
1s1, 2o1, 1.0O[12.0], 12.0, 170891.13326913898
1s1, 2q1, 3.0Q[14.0, 13.0, 12.0], 14.0, 170891.13326913898
1s1, 2q1, 3.0Q[14.0, 13.0, 12.0], 13.0, 170891.13326913898
1s1, 2q1, 3.0Q[14.0, 13.0, 12.0], 12.0, 170891.13326913898
1s1, 2q1, 1.0Q[13.0], 13.0, 170891.13326913898
1s1, 2r1, 3.0R[15.0, 14.0, 13.0], 15.0, 170891.13326913898
1s1, 2r1, 3.0R[15.0, 14.0, 13.0], 14.0, 170891.13326913898
1s1, 2r1, 3.0R[15.0, 14.0, 13.0], 13.0, 170891.13326913898
1s1, 2r1, 1.0R[14.0], 14.0, 170891.13326913898
1s1, 2t1, 3.0T[16.0, 15.0, 14.0], 16.0, 170891.13326913898
1s1, 2t1, 3.0T[16.0, 15.0, 14.0], 15.0, 170891.13326913898
1s1, 2t1, 3.0T[16.0, 15.0, 14.0], 14.0, 170891.13326913898
1s1, 2t1, 1.0T[15.0], 15.0, 170891.13326913898
1s1, 2u1, 3.0U[17.0, 16.0, 15.0], 17.0, 170891.13326913898
1s1, 2u1, 3.0U[17.0, 16.0, 15.0], 16.0, 170891.13326913898
1s1, 2u1, 3.0U[17.0, 16.0, 15.0], 15.0, 170891.13326913898
1s1, 2u1, 1.0U[16.0], 16.0, 170891.13326913898
1s1, 2v1, 3.0V[18.0, 17.0, 16.0], 18.0, 170891.13326913898
1s1, 2v1, 3.0V[18.0, 17.0, 16.0], 17.0, 170891.13326913898
1s1, 2v1, 3.0V[18.0, 17.0, 16.0], 16.0, 170891.13326913898
1s1, 2v1, 1.0V[17.0], 17.0, 170891.13326913898
1s1, 2w1, 3.0W[19.0, 18.0, 17.0], 19.0, 170891.13326913898
1s1, 2w1, 3.0W[19.0, 18.0, 17.0], 18.0, 170891.13326913898
1s1, 2w1, 3.0W[19.0, 18.0, 17.0], 17.0, 170891.13326913898
1s1, 2w1, 1.0W[18.0], 18.0, 170891.13326913898
1s1, 2x1, 3.0X[20.0, 19.0, 18.0], 20.0, 170891.13326913898
1s1, 2x1, 3.0X[20.0, 19.0, 18.0], 19.0, 170891.13326913898
1s1, 2x1, 3.0X[20.0, 19.0, 18.0], 18.0, 170891.13326913898
1s1, 2x1, 1.0X[19.0], 19.0, 170891.13326913898
1s1, 3s1, 3.0S[1.0], 1.0, 186124.30218849346
1s1, 3s1, 1.0S[0.0], 0.0, 186124.30218849346
1s1, 3p1, 3.0P[2.0, 1.0, 0.0], 2.0, 186124.30218849346
1s1, 3p1, 3.0P[2.0, 1.0, 0.0], 1.0, 186124.30218849346
1s1, 3p1, 3.0P[2.0, 1.0, 0.0], 0.0, 186124.30218849346
1s1, 3p1, 1.0P[1.0], 1.0, 186124.30218849346
1s1, 3d1, 3.0D[3.0, 2.0, 1.0], 3.0, 186124.30218849346
1s1, 3d1, 3.0D[3.0, 2.0, 1.0], 2.0, 186124.30218849346
1s1, 3d1, 3.0D[3.0, 2.0, 1.0], 1.0, 186124.30218849346
1s1, 3d1, 1.0D[2.0], 2.0, 186124.30218849346
1s1, 3f1, 3.0F[4.0, 3.0, 2.0], 4.0, 186124.30218849346
1s1, 3f1, 3.0F[4.0, 3.0, 2.0], 3.0, 186124.30218849346
1s1, 3f1, 3.0F[4.0, 3.0, 2.0], 2.0, 186124.30218849346
1s1, 3f1, 1.0F[3.0], 3.0, 186124.30218849346
1s1, 3g1, 3.0G[5.0, 4.0, 3.0], 5.0, 186124.30218849346
1s1, 3g1, 3.0G[5.0, 4.0, 3.0], 4.0, 186124.30218849346
1s1, 3g1, 3.0G[5.0, 4.0, 3.0], 3.0, 186124.30218849346
1s1, 3g1, 1.0G[4.0], 4.0, 186124.30218849346
1s1, 3h1, 3.0H[6.0, 5.0, 4.0], 6.0, 186124.30218849346
1s1, 3h1, 3.0H[6.0, 5.0, 4.0], 5.0, 186124.30218849346
1s1, 3h1, 3.0H[6.0, 5.0, 4.0], 4.0, 186124.30218849346
1s1, 3h1, 1.0H[5.0], 5.0, 186124.30218849346
1s1, 3i1, 3.0I[7.0, 6.0, 5.0], 7.0, 186124.30218849346
1s1, 3i1, 3.0I[7.0, 6.0, 5.0], 6.0, 186124.30218849346
1s1, 3i1, 3.0I[7.0, 6.0, 5.0], 5.0, 186124.30218849346
1s1, 3i1, 1.0I[6.0], 6.0, 186124.30218849346
1s1, 3j1, 3.0J[8.0, 7.0, 6.0], 8.0, 186124.30218849346
1s1, 3j1, 3.0J[8.0, 7.0, 6.0], 7.0, 186124.30218849346
1s1, 3j1, 3.0J[8.0, 7.0, 6.0], 6.0, 186124.30218849346
1s1, 3j1, 1.0J[7.0], 7.0, 186124.30218849346
1s1, 3k1, 3.0K[9.0, 8.0, 7.0], 9.0, 186124.30218849346
1s1, 3k1, 3.0K[9.0, 8.0, 7.0], 8.0, 186124.30218849346
1s1, 3k1, 3.0K[9.0, 8.0, 7.0], 7.0, 186124.30218849346
1s1, 3k1, 1.0K[8.0], 8.0, 186124.30218849346
1s1, 3l1, 3.0L[10.0, 9.0, 8.0], 10.0, 186124.30218849346
1s1, 3l1, 3.0L[10.0, 9.0, 8.0], 9.0, 186124.30218849346
1s1, 3l1, 3.0L[10.0, 9.0, 8.0], 8.0, 186124.30218849346
1s1, 3l1, 1.0L[9.0], 9.0, 186124.30218849346
1s1, 3m1, 3.0M[11.0, 10.0, 9.0], 11.0, 186124.30218849346
1s1, 3m1, 3.0M[11.0, 10.0, 9.0], 10.0, 186124.30218849346
1s1, 3m1, 3.0M[11.0, 10.0, 9.0], 9.0, 186124.30218849346
1s1, 3m1, 1.0M[10.0], 10.0, 186124.30218849346
1s1, 3n1, 3.0N[12.0, 11.0, 10.0], 12.0, 186124.30218849346
1s1, 3n1, 3.0N[12.0, 11.0, 10.0], 11.0, 186124.30218849346
1s1, 3n1, 3.0N[12.0, 11.0, 10.0], 10.0, 186124.30218849346
1s1, 3n1, 1.0N[11.0], 11.0, 186124.30218849346
1s1, 3o1, 3.0O[13.0, 12.0, 11.0], 13.0, 186124.30218849346
1s1, 3o1, 3.0O[13.0, 12.0, 11.0], 12.0, 186124.30218849346
1s1, 3o1, 3.0O[13.0, 12.0, 11.0], 11.0, 186124.30218849346
1s1, 3o1, 1.0O[12.0], 12.0, 186124.30218849346
1s1, 3q1, 3.0Q[14.0, 13.0, 12.0], 14.0, 186124.30218849346
1s1, 3q1, 3.0Q[14.0, 13.0, 12.0], 13.0, 186124.30218849346
1s1, 3q1, 3.0Q[14.0, 13.0, 12.0], 12.0, 186124.30218849346
1s1, 3q1, 1.0Q[13.0], 13.0, 186124.30218849346
