config, term, J, epsion
2s2.2p2, 3P, 0, 0.0000000000
2s2.2p2, 3P, 1, 0.0020354130
2s2.2p2, 3P, 2, 0.0053825826

2s2.2p2, 1D, 2, 1.2637284

2s2.2p2, 1S, 0, 2.6840136

2s.2p3, 5S, 2, 4.1826219

2s2.2p.3s, 3P, 0, 7.48039408
2s2.2p.3s, 3P, 1, 7.48277591
2s2.2p.3s, 3P, 2, 7.48779862

2s2.2p.3s, 1P, 1, 7.68476771

2s.2p3, 3D, 3, 7.94577149
2s.2p3, 3D, 1, 7.94613469
2s.2p3, 3D, 2, 7.94627039

2s2.2p.3p, 1P, 1, 8.53709955

2s2.2p.3p, 3D, 1, 8.64039597
2s2.2p.3p, 3D, 2, 8.64302361
2s2.2p.3p, 3D, 3, 8.64716033

2s2.2p.3p, 3S, 1, 8.77113462

2s2.2p.3p, 3P, 0, 8.84658783
2s2.2p.3p, 3P, 1, 8.84812431
2s2.2p.3p, 3P, 2, 8.85066275

2s2.2p.3p, 1D, 2, 9.00258374

2s2.2p.3p, 1S, 0, 9.17184604

2s.2p3, 3P, 1, 9.33030700
2s.2p3, 3P, 2, 9.33046719
2s.2p3, 3P, 0, 9.33057579

2s2.2p.3d, 1D, 2, 9.63107176

2s2.2p.4s, 3P, 0, 9.68378581
2s2.2p.4s, 3P, 1, 9.68524545
2s2.2p.4s, 3P, 2, 9.68913048

2s2.2p.3d, 3F, 2, 9.69545159
2s2.2p.3d, 3F, 3, 9.69749097
2s2.2p.3d, 3F, 4, 9.70175932

2s2.2p.3d, 3D, 1, 9.70715832
2s2.2p.3d, 3D, 2, 9.70891067
2s2.2p.3d, 3D, 3, 9.71022735

2s2.2p.4s, 1P, 1, 9.71295895

2s2.2p.3d, 1F, 3, 9.73643519

2s2.2p.3d, 1P, 1, 9.76143649

2s2.2p.3d, 3P, 2, 9.83329434
2s2.2p.3d, 3P, 1, 9.83427891
2s2.2p.3d, 3P, 0, 9.83482184

2s2.2p.4p, 1P, 1, 9.98852470

2s2.2p.4p, 3D, 1, 10.01574712
2s2.2p.4p, 3D, 2, 10.01808295
2s2.2p.4p, 3D, 3, 10.02221609

2s2.2p.4p, 3S, 1, 10.05574629

2s2.2p.4p, 3P, 0, 10.08128582
2s2.2p.4p, 3P, 1, 10.08311538
2s2.2p.4p, 3P, 2, 10.08537735

2s2.2p.4p, 1D, 2, 10.13817181

