config, term, J, epsion
2s2.2p3, 4S, 1.5, 0.000

2s2.2p3, 2D, 2.5, 19224.464
2s2.2p3, 2D, 1.5, 19233.177

2s2.2p3, 2P, 0.5, 28838.920
2s2.2p3, 2P, 1.5, 28839.306

2s2.2p2.(3P).3s, 4P, 0.5, 83284.070
2s2.2p2.(3P).3s, 4P, 1.5, 83317.830
2s2.2p2.(3P).3s, 4P, 2.5, 83364.620

2s2.2p2.(3P).3s, 2P, 0.5, 86137.350
2s2.2p2.(3P).3s, 2P, 1.5, 86220.510

2s.2p4, 4P, 2.5, 88107.260
2s.2p4, 4P, 1.5, 88151.170
2s.2p4, 4P, 0.5, 88170.570

2s2.2p2.(3P).3p, 2S, 0.5, 93581.550

2s2.2p2.(3P).3p, 4D, 0.5, 94770.880
2s2.2p2.(3P).3p, 4D, 1.5, 94793.490
2s2.2p2.(3P).3p, 4D, 2.5, 94830.890
2s2.2p2.(3P).3p, 4D, 3.5, 94881.820

2s2.2p2.(3P).3p, 4P, 0.5, 95475.310
2s2.2p2.(3P).3p, 4P, 1.5, 95493.690
2s2.2p2.(3P).3p, 4P, 2.5, 95532.150

2s2.2p2.(3P).3p, 4S, 1.5, 96750.840

2s2.2p2.(3P).3p, 2D, 1.5, 96787.680
2s2.2p2.(3P).3p, 2D, 2.5, 96864.050

2s2.2p2.(3P).3p, 2P, 0.5, 97770.180
2s2.2p2.(3P).3p, 2P, 1.5, 97805.840

2s2.2p2.(1D).3s, 2D, 2.5, 99663.427
2s2.2p2.(1D).3s, 2D, 1.5, 99663.912

2s2.2p2.(3P).4s, 4P, 0.5, 103622.51
2s2.2p2.(3P).4s, 4P, 1.5, 103667.16
2s2.2p2.(3P).4s, 4P, 2.5, 103735.48

2s2.2p2.(3P).4s, 2P, 0.5, 104144.820
2s2.2p2.(3P).4s, 2P, 1.5, 104221.630

2s2.2p2.(3P).3d, 2P, 1.5, 104615.470
2s2.2p2.(3P).3d, 2P, 0.5, 104654.030

