
1s2.2s2.2p3.12f1--3.0F[4.0, 3.0, 2.0], 4.0, 43126.1114772
1s2.2s2.2p3.12f1--3.0F[4.0, 3.0, 2.0], 3.0, 43126.1114772
1s2.2s2.2p3.12f1--3.0F[4.0, 3.0, 2.0], 2.0, 43126.1114772

1s2.2s2.2p3.12f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 43126.725817
1s2.2s2.2p3.12f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 43126.725817
1s2.2s2.2p3.12f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 43126.725817
1s2.2s2.2p3.12f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 43126.725817
1s2.2s2.2p3.12f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 43126.725817

1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 15.0, 59158.0626274
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 14.0, 59158.0626274
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 13.0, 59158.0626274
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 12.0, 59158.0626274
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 11.0, 59158.0626274

1s2.2s2.2p3.20q1--3.0Q[14.0, 13.0, 12.0], 14.0, 59158.0626274
1s2.2s2.2p3.20q1--3.0Q[14.0, 13.0, 12.0], 13.0, 59158.0626274
1s2.2s2.2p3.20q1--3.0Q[14.0, 13.0, 12.0], 12.0, 59158.0626274

1s2.2s2.2p3.11f1--3.0F[4.0, 3.0, 2.0], 4.0, 63671.8807076
1s2.2s2.2p3.11f1--3.0F[4.0, 3.0, 2.0], 3.0, 63671.8807076
1s2.2s2.2p3.11f1--3.0F[4.0, 3.0, 2.0], 2.0, 63671.8807076

1s2.2s2.2p3.11f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 63672.1422767
1s2.2s2.2p3.11f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 63672.1422767
1s2.2s2.2p3.11f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 63672.1422767
1s2.2s2.2p3.11f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 63672.1422767
1s2.2s2.2p3.11f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 63672.1422767

1s2.2s2.2p3.18l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 11.0, 65183.0466498
1s2.2s2.2p3.18l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 10.0, 65183.0466498
1s2.2s2.2p3.18l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 9.0, 65183.0466498
1s2.2s2.2p3.18l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 8.0, 65183.0466498
1s2.2s2.2p3.18l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 7.0, 65183.0466498

1s2.2s2.2p3.18l1--3.0L[10.0, 9.0, 8.0], 10.0, 65183.0468925
1s2.2s2.2p3.18l1--3.0L[10.0, 9.0, 8.0], 9.0, 65183.0468925
1s2.2s2.2p3.18l1--3.0L[10.0, 9.0, 8.0], 8.0, 65183.0468925

1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 15.0, 66091.1835711
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 14.0, 66091.1835711
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 13.0, 66091.1835711
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 12.0, 66091.1835711
1s2.2s2.2p3.20q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 11.0, 66091.1835711

1s2.2s2.2p3.20q1--3.0Q[14.0, 13.0, 12.0], 14.0, 66091.2038563
1s2.2s2.2p3.20q1--3.0Q[14.0, 13.0, 12.0], 13.0, 66091.2038563
1s2.2s2.2p3.20q1--3.0Q[14.0, 13.0, 12.0], 12.0, 66091.2038563

1s2.2s2.2p3.17q1--3.0Q[14.0, 13.0, 12.0], 14.0, 70780.4793798
1s2.2s2.2p3.17q1--3.0Q[14.0, 13.0, 12.0], 13.0, 70780.4793798
1s2.2s2.2p3.17q1--3.0Q[14.0, 13.0, 12.0], 12.0, 70780.4793798

1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 15.0, 70780.4821368
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 14.0, 70780.4821368
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 13.0, 70780.4821368
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 12.0, 70780.4821368
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 11.0, 70780.4821368

1s2.2s2.2p3.7p1--5.0P[3.0, 2.0, 1.0], 3.0, 75650.669985
1s2.2s2.2p3.7p1--5.0P[3.0, 2.0, 1.0], 2.0, 75650.669985
1s2.2s2.2p3.7p1--5.0P[3.0, 2.0, 1.0], 1.0, 75650.669985

1s2.2s2.2p3.7p1--3.0P[2.0, 1.0, 0.0], 2.0, 76302.9429326
1s2.2s2.2p3.7p1--3.0P[2.0, 1.0, 0.0], 1.0, 76302.9429326
1s2.2s2.2p3.7p1--3.0P[2.0, 1.0, 0.0], 0.0, 76302.9429326

1s2.2s2.2p3.15f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 78315.5688907
1s2.2s2.2p3.15f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 78315.5688907
1s2.2s2.2p3.15f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 78315.5688907
1s2.2s2.2p3.15f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 78315.5688907
1s2.2s2.2p3.15f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 78315.5688907

1s2.2s2.2p3.15f1--3.0F[4.0, 3.0, 2.0], 4.0, 78315.5878868
1s2.2s2.2p3.15f1--3.0F[4.0, 3.0, 2.0], 3.0, 78315.5878868
1s2.2s2.2p3.15f1--3.0F[4.0, 3.0, 2.0], 2.0, 78315.5878868

1s2.2s2.2p3.19n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 13.0, 82780.4867266
1s2.2s2.2p3.19n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 12.0, 82780.4867266
1s2.2s2.2p3.19n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 11.0, 82780.4867266
1s2.2s2.2p3.19n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 10.0, 82780.4867266
1s2.2s2.2p3.19n1--5.0N[13.0, 12.0, 11.0, 10.0, 9.0], 9.0, 82780.4867266

1s2.2s2.2p3.19n1--3.0N[12.0, 11.0, 10.0], 12.0, 82780.5660603
1s2.2s2.2p3.19n1--3.0N[12.0, 11.0, 10.0], 11.0, 82780.5660603
1s2.2s2.2p3.19n1--3.0N[12.0, 11.0, 10.0], 10.0, 82780.5660603

1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 15.0, 85053.8090933
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 14.0, 85053.8090933
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 13.0, 85053.8090933
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 12.0, 85053.8090933
1s2.2s2.2p3.17q1--5.0Q[15.0, 14.0, 13.0, 12.0, 11.0], 11.0, 85053.8090933

1s2.2s2.2p3.17q1--3.0Q[14.0, 13.0, 12.0], 14.0, 85053.8090933
1s2.2s2.2p3.17q1--3.0Q[14.0, 13.0, 12.0], 13.0, 85053.8090933
1s2.2s2.2p3.17q1--3.0Q[14.0, 13.0, 12.0], 12.0, 85053.8090933

1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 88632.6007597
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 88632.6007597
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 88632.6007597
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 88632.6007597
1s2.2s2.2p3.8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 88632.6007597

1s2.2s2.2p3.8f1--3.0F[4.0, 3.0, 2.0], 4.0, 88632.6665096
1s2.2s2.2p3.8f1--3.0F[4.0, 3.0, 2.0], 3.0, 88632.6665096
1s2.2s2.2p3.8f1--3.0F[4.0, 3.0, 2.0], 2.0, 88632.6665096

1s2.2s2.2p3.9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 90262.1710133
1s2.2s2.2p3.9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 90262.1710133
1s2.2s2.2p3.9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 90262.1710133
1s2.2s2.2p3.9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 90262.1710133
1s2.2s2.2p3.9f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 90262.1710133

1s2.2s2.2p3.9f1--3.0F[4.0, 3.0, 2.0], 4.0, 90262.220565
1s2.2s2.2p3.9f1--3.0F[4.0, 3.0, 2.0], 3.0, 90262.220565
1s2.2s2.2p3.9f1--3.0F[4.0, 3.0, 2.0], 2.0, 90262.220565

1s2.2s2.2p3.10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 95184.8783379
1s2.2s2.2p3.10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 95184.8783379
1s2.2s2.2p3.10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 95184.8783379
1s2.2s2.2p3.10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 95184.8783379
1s2.2s2.2p3.10g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 95184.8783379

1s2.2s2.2p3.10g1--3.0G[5.0, 4.0, 3.0], 5.0, 95184.8786729
1s2.2s2.2p3.10g1--3.0G[5.0, 4.0, 3.0], 4.0, 95184.8786729
1s2.2s2.2p3.10g1--3.0G[5.0, 4.0, 3.0], 3.0, 95184.8786729

1s2.2s2.2p3.16f1--3.0F[4.0, 3.0, 2.0], 4.0, 99214.1108782
1s2.2s2.2p3.16f1--3.0F[4.0, 3.0, 2.0], 3.0, 99214.1108782
1s2.2s2.2p3.16f1--3.0F[4.0, 3.0, 2.0], 2.0, 99214.1108782

1s2.2s2.2p3.16f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 99214.1246148
1s2.2s2.2p3.16f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 99214.1246148
1s2.2s2.2p3.16f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 99214.1246148
1s2.2s2.2p3.16f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 99214.1246148
1s2.2s2.2p3.16f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 99214.1246148

1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 102666.071547
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 102666.071547
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 102666.071547
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 102666.071547
1s2.2s2.2p3.8g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 102666.071547

1s2.2s2.2p3.8g1--3.0G[5.0, 4.0, 3.0], 5.0, 102666.071857
1s2.2s2.2p3.8g1--3.0G[5.0, 4.0, 3.0], 4.0, 102666.071857
1s2.2s2.2p3.8g1--3.0G[5.0, 4.0, 3.0], 3.0, 102666.071857

1s2.2s2.2p3.17l1--3.0L[10.0, 9.0, 8.0], 10.0, 103423.520816
1s2.2s2.2p3.17l1--3.0L[10.0, 9.0, 8.0], 9.0, 103423.520816
1s2.2s2.2p3.17l1--3.0L[10.0, 9.0, 8.0], 8.0, 103423.520816

1s2.2s2.2p3.17l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 11.0, 103423.521047
1s2.2s2.2p3.17l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 10.0, 103423.521047
1s2.2s2.2p3.17l1--5.0L[11.0, 10.0, 9.0, 8.0, 7.0], 9.0, 103423.521047
