config, term, J, epsion
2s2.2p3, 4S, 1.5, 0.0

2s2.2p3, 2D, 2.5, 34087.4
2s2.2p3, 2D, 1.5, 34123.2

2s2.2p3, 2P, 0.5, 51560.6
2s2.2p3, 2P, 1.5, 51561.4

2s.2p4, 4P, 2.5, 151899.7
2s.2p4, 4P, 1.5, 152237.4
2s.2p4, 4P, 0.5, 152410.9

2s.2p4, 2D, 2.5, 210241.7
2s.2p4, 2D, 1.5, 210256.3

2s.2p4, 2S, 0.5, 248261.4

2s.2p4, 2P, 1.5, 266561.85
2s.2p4, 2P, 0.5, 266944.70

2s2.2p2.3s, 4P, 0.5, 316709.81
2s2.2p2.3s, 4P, 1.5, 316920.99
2s2.2p2.3s, 4P, 2.5, 317239.97

2s2.2p2.3s, 2P, 0.5, 324492.55
2s2.2p2.3s, 2P, 1.5, 324876.72

2s2.2p2.3s, 2D, 2.5, 344024.17
2s2.2p2.3s, 2D, 1.5, 344027.58

2s2.2p2.3p, 2S, 0.5, 344436.96

2s2.2p2.3p, 4D, 0.5, 348702.80
2s2.2p2.3p, 4D, 1.5, 348817.60
2s2.2p2.3p, 4D, 2.5, 349007.25
2s2.2p2.3p, 4D, 3.5, 349266.20

2s2.2p2.3p, 4P, 0.5, 351236.35
2s2.2p2.3p, 4P, 1.5, 351330.80
2s2.2p2.3p, 4P, 2.5, 351519.42

2s2.2p2.3p, 2D, 1.5, 355981.90
2s2.2p2.3p, 2D, 2.5, 356371.82

2s2.2p2.3p, 4S, 1.5, 357479.35

2s2.2p2.3p, 2P, 0.5, 360348.28
2s2.2p2.3p, 2P, 1.5, 360435.08

2s2.2p2.3s, 2S, 0.5, 372678.47

2s2.2p2.3p, 2F, 2.5, 376814.02
2s2.2p2.3p, 2F, 3.5, 376879.07

2s2.2p2.3p, 2D, 2.5, 380250.52
2s2.2p2.3p, 2D, 1.5, 380307.13

2s2.2p2.3p, 2P, 0.5, 384358.54
2s2.2p2.3p, 2P, 1.5, 384493.06

2s2.2p2.3d, 4F, 1.5, 387259.28
2s2.2p2.3d, 4F, 2.5, 387367.92
2s2.2p2.3d, 4F, 3.5, 387523.47
2s2.2p2.3d, 4F, 4.5, 387726.84

2s2.2p2.3d, 2P, 1.5, 389525.55
2s2.2p2.3d, 2P, 0.5, 389737.63

2s2.2p2.3d, 4D, 2.5, 390077.80
2s2.2p2.3d, 4D, 1.5, 390080.30
2s2.2p2.3d, 4D, 0.5, 390120.77
2s2.2p2.3d, 4D, 3.5, 390210.43

2s2.2p2.3d, 4P, 2.5, 390834.60
2s2.2p2.3d, 4P, 1.5, 390976.35
2s2.2p2.3d, 4P, 0.5, 391047.54

2s2.2p2.3d, 2F, 2.5, 391257.42
2s2.2p2.3d, 2F, 3.5, 391626.91

2s.2p3.3s, 6S, 2.5, 391931.58

2s2.2p2.3d, 2D, 1.5, 395268.13
2s2.2p2.3d, 2D, 2.5, 395385.66

2p5, 2P, 1.5, 401205.78
2p5, 2P, 0.5, 401724.33

2s.2p3.3s, 4S, 1.5, 404780.82

2s2.2p2.3p, 2P, 0.5, 406904.38
2s2.2p2.3p, 2P, 1.5, 406908.95

2s2.2p2.3d, 2F, 3.5, 413143.86
2s2.2p2.3d, 2F, 2.5, 413195.00

2s2.2p2.3d, 2G, 4.5, 414894.89
2s2.2p2.3d, 2G, 3.5, 414897.72

2s2.2p2.4s, 4P, 0.5, 415184.12
2s2.2p2.4s, 4P, 1.5, 415394.51
2s2.2p2.4s, 4P, 2.5, 415720.86

2s2.2p2.3d, 2D, 1.5, 416168.30
2s2.2p2.3d, 2D, 2.5, 416185.42

2s2.2p2.4s, 2P, 0.5, 417585.35
2s2.2p2.4s, 2P, 1.5, 417970.80

2s2.2p2.3d, 2P, 0.5, 418188.48
2s2.2p2.3d, 2P, 1.5, 418248.56

2s2.2p2.3d, 2S, 0.5, 421005.36

2s.2p3.3p, 6P, 1.5, 425261.06
2s.2p3.3p, 6P, 2.5, 425282.70
2s.2p3.3p, 6P, 3.5, 425318.80

2s2.2p2.4p, 2S, 0.5, 425390.01

2s2.2p2.4p, 4D, 0.5, 426431.03
2s2.2p2.4p, 4D, 1.5, 426558.91
2s2.2p2.4p, 4D, 2.5, 426733.04
2s2.2p2.4p, 4D, 3.5, 426989.57

2s2.2p2.4p, 4P, 0.5, 427459.37
2s2.2p2.4p, 4P, 1.5, 427545.31
2s2.2p2.4p, 4P, 2.5, 427731.85

2s2.2p2.4p, 2D, 1.5, 430012.48
2s2.2p2.4p, 2D, 2.5, 430374.75

2s2.2p2.4p, 4S, 1.5, 431432.27

2s2.2p2.4p, 2P, 0.5, 431967.93
2s2.2p2.4p, 2P, 1.5, 432060.64

2s.2p3.3p, 4P, 2.5, 434548.72
2s.2p3.3p, 4P, 1.5, 434569.80
2s.2p3.3p, 4P, 0.5, 434584.16

2s2.2p2.4d, 4F, 1.5, 440069.51
2s2.2p2.4d, 4F, 2.5, 440202.48
2s2.2p2.4d, 4F, 3.5, 440359.26
2s2.2p2.4d, 4F, 4.5, 440582.12

2s2.2p2.4s, 2D, 1.5, 440825.13
2s2.2p2.4s, 2D, 2.5, 440828.55

2s2.2p2.4d, 2P, 1.5, 441158.60
2s2.2p2.4d, 2P, 0.5, 441167.40

2s2.2p2.4d, 4D, 2.5, 441276.72
2s2.2p2.4d, 4D, 0.5, 441315.80
2s2.2p2.4d, 4D, 1.5, 441385.88
2s2.2p2.4d, 4D, 3.5, 441406.46

2s2.2p2.4d, 4P, 2.5, 442147.19
2s2.2p2.4d, 4P, 1.5, 442294.31
2s2.2p2.4d, 4P, 0.5, 442370.28

2s2.2p2.4d, 2F, 2.5, 442278.93
2s2.2p2.4d, 2F, 3.5, 442636.27

2s2.2p2.3d, 2D, 1.5, 442694.58
2s2.2p2.3d, 2D, 2.5, 442748.85

2s2.2p2.4d, 2D, 1.5, 444957.11
2s2.2p2.4d, 2D, 2.5, 445006.13

2s2.2p2.5s, 4P, 0.5, 452577.90
2s2.2p2.5s, 4P, 1.5, 452816.60
2s2.2p2.5s, 4P, 2.5, 453152.39

2s2.2p2.4p, 2F, 2.5, 452748.54
2s2.2p2.4p, 2F, 3.5, 452770.85

2s2.2p2.4p, 2D, 2.5, 453343.62
2s2.2p2.4p, 2D, 1.5, 453369.77

2s2.2p2.5s, 2P, 0.5, 453696.10
2s2.2p2.5s, 2P, 1.5, 454097.66

2s2.2p2.4p, 2P, 1.5, 455648.67
2s2.2p2.4p, 2P, 0.5, 455768.72

2s2.2p2.5p, 2S, 0.5, 457376.18

2s2.2p2.5p, 4D, 0.5, 457446.39
2s2.2p2.5p, 4D, 1.5, 457555.17
2s2.2p2.5p, 4D, 2.5, 457715.10
2s2.2p2.5p, 4D, 3.5, 457959.07

2s2.2p2.5p, 4P, 0.5, 458336.27
2s2.2p2.5p, 4P, 1.5, 458392.61
2s2.2p2.5p, 4P, 2.5, 458594.86

2s2.2p2.5p, 2D, 1.5, 459804.55
2s2.2p2.5p, 2D, 2.5, 460141.63

2s.2p3.3d, 6D, 4.5, 462951.93
2s.2p3.3d, 6D, 3.5, 462954.27
2s.2p3.3d, 6D, 2.5, 462958.24
2s.2p3.3d, 6D, 1.5, 462961.82
2s.2p3.3d, 6D, 0.5, 462964.67

2s2.2p2.5d, 4F, 1.5, 464223.93
2s2.2p2.5d, 4F, 2.5, 464321.84
2s2.2p2.5d, 4F, 3.5, 464491.89
2s2.2p2.5d, 4F, 4.5, 464728.42

2s2.2p2.4d, 2F, 3.5, 464921.74
2s2.2p2.4d, 2F, 2.5, 464939.50

2s2.2p2.5d, 4P, 2.5, 465414.14
2s2.2p2.5d, 4P, 0.5, 465541.
2s2.2p2.5d, 4P, 1.5, 465541.

2s2.2p2.4d, 2G, 4.5, 466190.47
2s2.2p2.4d, 2G, 3.5, 466190.97

2s2.2p2.5d, 2D, 1.5, 466353.24
2s2.2p2.5d, 2D, 2.5, 466375.50

2s.2p3.3s, 4D, 3.5, 466572.2
2s.2p3.3s, 4D, 2.5, 466577.9

2s2.2p2.4d, 2D, 1.5, 466978.15
2s2.2p2.4d, 2D, 2.5, 466982.86

2s2.2p2.4d, 2P, 0.5, 467769.11
2s2.2p2.4d, 2P, 1.5, 467827.16

2s.2p3.3d, 4D, 3.5, 467871.08
2s.2p3.3d, 4D, 2.5, 467872.32
2s.2p3.3d, 4D, 1.5, 467873.71
2s.2p3.3d, 4D, 0.5, 467873.71

2s2.2p2.4s, 2S, 0.5, 469407.29

2s2.2p2.4d, 2S, 0.5, 470269.07

2s2.2p2.6s, 4P, 1.5, 471003.82
2s2.2p2.6s, 4P, 2.5, 471331.80

2s.2p3.3s, 2D, 2.5, 474368.94
2s.2p3.3s, 2D, 1.5, 474413.

2s2.2p2.4p, 2P, 0.5, 481343.01
2s2.2p2.4p, 2P, 1.5, 481361.17

2s2.2p2.5p, 2F, 2.5, 483510.17
2s2.2p2.5p, 2F, 3.5, 483521.14

2s2.2p2.5d, 2F, 3.5, 489494.53

2s2.2p2.5d, 2D, 2.5, 490140.
