---------------------------------------------------------------------------------------------------------
Configuration      | Term   |     J |                Level (cm-1) |       Uncertainty (cm-1) | Reference
-------------------|--------|-------|-----------------------------|--------------------------|-----------
                   |        |       |                             |                          |           
1s2                | 1S     |     0 |               0.0000        |            0.0011        |     L8948
                   |        |       |                             |                          |           
1s.2s              | 3S     |     1 |         [159855.9743297]    |            0.0000020     |     L8948
                   |        |       |                             |                          |           
1s.2s              | 1S     |     0 |         [166277.440141]     |            0.000005      |     L8948
                   |        |       |                             |                          |           
1s.2p              | 3P*    |     2 |         [169086.7664725]    |            0.0000020     |     L8948
                   |        |     1 |         [169086.8428979]    |            0.0000020     |     L8948
                   |        |     0 |         [169087.8308131]    |            0.0000020     |     L8948
                   |        |       |                             |                          |           
1s.2p              | 1P*    |     1 |         [171134.896946]     |            0.000007      |     L8948
                   |        |       |                             |                          |           
1s.3s              | 3S     |     1 |         [183236.79170]      |            0.00007       |     L8948
                   |        |       |                             |                          |           
1s.3s              | 1S     |     0 |         [184864.82932]      |            0.00003       |     L8948
                   |        |       |                             |                          |           
1s.3p              | 3P*    |     2 |         [185564.561920]     |            0.000007      |     L8948
                   |        |     1 |         [185564.583895]     |            0.000007      |     L8948
                   |        |     0 |         [185564.854540]     |            0.000007      |     L8948
                   |        |       |                             |                          |           
1s.3d              | 3D     |     3 |         [186101.5461767]    |            0.0000007     |     L8948
                   |        |     2 |         [186101.5486891]    |            0.0000007     |     L8948
                   |        |     1 |         [186101.5928903]    |            0.0000007     |     L8948
                   |        |       |                             |                          |           
1s.3d              | 1D     |     2 |         [186104.9666893]    |            0.0000007     |     L8948
                   |        |       |                             |                          |           
1s.3p              | 1P*    |     1 |         [186209.364940]     |            0.000007      |     L8948
                   |        |       |                             |                          |           
1s.4s              | 3S     |     1 |         [190298.113260]     |            0.000023      |     L8948
                   |        |       |                             |                          |           
1s.4s              | 1S     |     0 |         [190940.226355]     |            0.000020      |     L8948
                   |        |       |                             |                          |           
1s.4p              | 3P*    |     2 |         [191217.040967]     |            0.000007      |     L8948
                   |        |     1 |         [191217.049963]     |            0.000007      |     L8948
                   |        |     0 |         [191217.160290]     |            0.000007      |     L8948
                   |        |       |                             |                          |           
1s.4d              | 3D     |     3 |         [191444.4809292]    |            0.0000003     |     L8948
                   |        |     2 |         [191444.4821307]    |            0.0000003     |     L8948
                   |        |     1 |         [191444.5006512]    |            0.0000003     |     L8948
                   |        |       |                             |                          |           
1s.4d              | 1D     |     2 |         [191446.4557405]    |            0.0000003     |     L8948
                   |        |       |                             |                          |           
1s.4f              | 3F*    |     3 |         [191451.87394878]   |            0.00000007    |     L8948
                   |        |     4 |         [191451.88108855]   |            0.00000007    |     L8948
                   |        |     2 |         [191451.88970691]   |            0.00000007    |     L8948
                   |        |       |                             |                          |           
1s.4f              | 1F*    |     3 |         [191451.89746084]   |            0.00000007    |     L8948
                   |        |       |                             |                          |           
1s.4p              | 1P*    |     1 |         [191492.711909]     |            0.000007      |     L8948
                   |        |       |                             |                          |           
1s.5s              | 3S     |     1 |         [193346.991344]     |            0.000010      |     L8948
                   |        |       |                             |                          |           
1s.5s              | 1S     |     0 |         [193663.512095]     |            0.000010      |     L8948
