
1s2.2s2.2p3(4.0S).7p1--5.0P[3.0, 2.0, 1.0], 3.0, 105005.797775 ritzRydberg
1s2.2s2.2p3(4.0S).7p1--5.0P[3.0, 2.0, 1.0], 2.0, 105005.797775 ritzRydberg
1s2.2s2.2p3(4.0S).7p1--5.0P[3.0, 2.0, 1.0], 1.0, 105005.797775 ritzRydberg

1s2.2s2.2p3(4.0S).7p1--3.0P[2.0, 1.0, 0.0], 2.0, 105186.916056 ritzRydberg
1s2.2s2.2p3(4.0S).7p1--3.0P[2.0, 1.0, 0.0], 1.0, 105186.916056 ritzRydberg
1s2.2s2.2p3(4.0S).7p1--3.0P[2.0, 1.0, 0.0], 0.0, 105186.916056 ritzRydberg

1s2.2s2.2p3(4.0S).8p1--5.0P[3.0, 2.0, 1.0], 3.0, 105431.094729 ritzRydberg
1s2.2s2.2p3(4.0S).8p1--5.0P[3.0, 2.0, 1.0], 2.0, 105431.094729 ritzRydberg
1s2.2s2.2p3(4.0S).8p1--5.0P[3.0, 2.0, 1.0], 1.0, 105431.094729 ritzRydberg

1s2.2s2.2p3(4.0S).8p1--3.0P[2.0, 1.0, 0.0], 2.0, 105588.367885 ritzRydberg
1s2.2s2.2p3(4.0S).8p1--3.0P[2.0, 1.0, 0.0], 1.0, 105588.367885 ritzRydberg
1s2.2s2.2p3(4.0S).8p1--3.0P[2.0, 1.0, 0.0], 0.0, 105588.367885 ritzRydberg

1s2.2s2.2p3(4.0S).9p1--5.0P[3.0, 2.0, 1.0], 3.0, 105746.796479 ritzRydberg
1s2.2s2.2p3(4.0S).9p1--5.0P[3.0, 2.0, 1.0], 2.0, 105746.796479 ritzRydberg
1s2.2s2.2p3(4.0S).9p1--5.0P[3.0, 2.0, 1.0], 1.0, 105746.796479 ritzRydberg

1s2.2s2.2p3(4.0S).9p1--3.0P[2.0, 1.0, 0.0], 2.0, 105887.202541 ritzRydberg
1s2.2s2.2p3(4.0S).9p1--3.0P[2.0, 1.0, 0.0], 1.0, 105887.202541 ritzRydberg
1s2.2s2.2p3(4.0S).9p1--3.0P[2.0, 1.0, 0.0], 0.0, 105887.202541 ritzRydberg

1s2.2s2.2p3(4.0S).10p1--5.0P[3.0, 2.0, 1.0], 3.0, 105998.107894 ritzRydberg
1s2.2s2.2p3(4.0S).10p1--5.0P[3.0, 2.0, 1.0], 2.0, 105998.107894 ritzRydberg
1s2.2s2.2p3(4.0S).10p1--5.0P[3.0, 2.0, 1.0], 1.0, 105998.107894 ritzRydberg

1s2.2s2.2p3(4.0S).10p1--3.0P[2.0, 1.0, 0.0], 2.0, 106125.612152 ritzRydberg
1s2.2s2.2p3(4.0S).10p1--3.0P[2.0, 1.0, 0.0], 1.0, 106125.612152 ritzRydberg
1s2.2s2.2p3(4.0S).10p1--3.0P[2.0, 1.0, 0.0], 0.0, 106125.612152 ritzRydberg

1s2.2s2.2p3(4.0S).11p1--5.0P[3.0, 2.0, 1.0], 3.0, 106207.904434 ritzRydberg
1s2.2s2.2p3(4.0S).11p1--5.0P[3.0, 2.0, 1.0], 2.0, 106207.904434 ritzRydberg
1s2.2s2.2p3(4.0S).11p1--5.0P[3.0, 2.0, 1.0], 1.0, 106207.904434 ritzRydberg

1s2.2s2.2p3(4.0S).11s1--5.0S[2.0], 2.0, 106288.989869 ritzRydberg

