config, term, J, epsion
2s2.2p, 2P, 0.5, 0.0
2s2.2p, 2P, 1.5, 174.4

2s.2p2, 4P, 0.5, 57187.1
2s.2p2, 4P, 1.5, 57246.8
2s.2p2, 4P, 2.5, 57327.9

2s.2p2, 2D, 2.5, 101023.9
2s.2p2, 2D, 1.5, 101030.6

2s.2p2, 2S, 0.5, 131004.3

2s.2p2, 2P, 0.5, 145875.7
2s.2p2, 2P, 1.5, 145985.8

2p3, 4S, 1.5, 186797.1

2p3, 2D, 2.5, 203074.6
2p3, 2D, 1.5, 203088.9

2s2.3s, 2S, 0.5, 221302.2

2p3, 2P, 0.5, 230404.3
2p3, 2P, 1.5, 230408.6

2s2.3p, 2P, 0.5, 245665.4
2s2.3p, 2P, 1.5, 245701.3

2s2.3d, 2D, 1.5, 267238.4
2s2.3d, 2D, 2.5, 267244.0

2s.2p.(3P).3s, 4P, 0.5, 287529.4
2s.2p.(3P).3s, 4P, 1.5, 287591.5
2s.2p.(3P).3s, 4P, 2.5, 287706.9

2s.2p.(3P).3s, 2P, 0.5, 297151.2
2s.2p.(3P).3s, 2P, 1.5, 297264.4

2s2.4s, 2S, 0.5, 301082.6

2s.2p.(3P).3p, 2P, 0.5, 309131.2
2s.2p.(3P).3p, 2P, 1.5, 309185.2

2s.2p.(3P).3p, 4D, 0.5, 309656.2
2s.2p.(3P).3p, 4D, 1.5, 309691.8
2s.2p.(3P).3p, 4D, 2.5, 309753.5
2s.2p.(3P).3p, 4D, 3.5, 309849.8

2s2.4p, 2P, 0.5, 311690.3
2s2.4p, 2P, 1.5, 311715.2

2s.2p.(3P).3p, 4S, 1.5, 314217.3

2s.2p.(3P).3p, 4P, 0.5, 317293.6
2s.2p.(3P).3p, 4P, 1.5, 317336.2
2s.2p.(3P).3p, 4P, 2.5, 317395.2

2s2.4d, 2D, 1.5, 317747.7
2s2.4d, 2D, 2.5, 317779.5

2s2.4f, 2F, 2.5, 320287.2
2s2.4f, 2F, 3.5, 320288.3

2s.2p.(3P).3p, 2D, 1.5, 320978.2
2s.2p.(3P).3p, 2D, 2.5, 321066.8

2s.2p.(3P).3p, 2S, 0.5, 327058.0

2s.2p.(3P).3d, 4F, 1.5, 330232.1
2s.2p.(3P).3d, 4F, 2.5, 330266.5
2s.2p.(3P).3d, 4F, 3.5, 330318.5
2s.2p.(3P).3d, 4F, 4.5, 330389.9

2s.2p.(3P).3d, 4D, 0.5, 332791.3
2s.2p.(3P).3d, 4D, 1.5, 332804.4
2s.2p.(3P).3d, 4D, 2.5, 332826.0
2s.2p.(3P).3d, 4D, 3.5, 332854.0

2s2.5s, 2S, 0.5, 333712.0

2s.2p.(3P).3d, 2D, 1.5, 334540.2
2s.2p.(3P).3d, 2D, 2.5, 334568.3

2s.2p.(3P).3d, 4P, 2.5, 336206.9
2s.2p.(3P).3d, 4P, 1.5, 336261.6
2s.2p.(3P).3d, 4P, 0.5, 336296.6

2s2.5p, 2P, 0.5, 338153.9
2s2.5p, 2P, 1.5, 338162.1

2s.2p.(3P).3d, 2F, 2.5, 339744.6
2s.2p.(3P).3d, 2F, 3.5, 339855.5

2s2.5d, 2D, 1.5, 341947.7
2s2.5d, 2D, 2.5, 341948.8

2s.2p.(3P).3d, 2P, 1.5, 342691.5
2s.2p.(3P).3d, 2P, 0.5, 342762.5

2s2.5f, 2F, 2.5, 342749.2
2s2.5f, 2F, 3.5, 342750.1

2s2.5g, 2G, 3.5, 343117.1
2s2.5g, 2G, 4.5, 343117.1

2s2.6s, 2S, 0.5, 349824.8

2s.2p.(1P).3s, 2P, 0.5, 353440.6
2s.2p.(1P).3s, 2P, 1.5, 353442.5

2s2.6d, 2D, 1.5, 354530.5
2s2.6d, 2D, 2.5, 354530.5

2s2.6f, 2F, 3.5, 354954.1
2s2.6f, 2F, 2.5, 354954.1

2s2.6g, 2G, 4.5, 355216.3
2s2.6g, 2G, 3.5, 355216.3

2s2.6h, 2H, 4.5, 355254.9
2s2.6h, 2H, 5.5, 355254.9

2s2.7s, 2S, 0.5, 359148.1

2s2.7d, 2D, 2.5, 362066
2s2.7d, 2D, 1.5, 362066

2s2.7f, 2F, 2.5, 362320.9
2s2.7f, 2F, 3.5, 362320.9

2s2.7g, 2G, 4.5, 362511.5
2s2.7g, 2G, 3.5, 362511.5

2s2.7h, 2H, 5.5, 362537.2
2s2.7h, 2H, 4.5, 362537.2

2s2.8s, 2S, 0.5, 364994.2

2s2.8d, 2D, 2.5, 366940
2s2.8d, 2D, 1.5, 366940

