---------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                | Reference
---------------------|--------|-----|----------------|--------------------|------------------------------------|-----------
                     |        |     |                |                    |                                    |           
2s2.2p4              | 3P     |   2 |         0.000  |                    | 100                                |     L9091
                     |        |   1 |       642.876  |             0.013  | 100                                |          
                     |        |   0 |       920.550  |             0.013  | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p4              | 1D     |   2 |     25840.72   |             0.2    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p4              | 1S     |   0 |     55752.7    |             0.9    |  98                                |          
                     |        |     |                |                    |                                    |           
2s.2p5               | 3P*    |   2 |    204290.0    |             1.1    |  99                                |          
                     |        |   1 |    204872.6    |             1.1    |  99                                |          
                     |        |   0 |    205194      |             2      |  99                                |          
                     |        |     |                |                    |                                    |           
2s.2p5               | 1P*    |   1 |    289478.6    |             1.0    |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).3s     | 5S*    |   2 |    309881.041+x |             2      | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).3s     | 3S*    |   1 |    319431.261  |             0.9    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).3p     | 5P     |   1 |    348395.524+x |             0.004  |  99                                |          
                     |        |   2 |    348426.628+x |             0.004  |  99                                |          
                     |        |   3 |    348479.578+x |             0.004  |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3s     | 3D*    |   3 |    353133.605  |             0.05   | 100                                |          
                     |        |   2 |    353163.013  |             0.05   | 100                                |          
                     |        |   1 |    353183.152  |             0.05   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).3p     | 3P     |   1 |    356751.837  |             0.004  |  95                                |          
                     |        |   0 |    356761.864  |             0.004  |  95                                |          
                     |        |   2 |    356762.797  |             0.004  |  95                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3s     | 1D*    |   2 |    357928.972  |             0.06   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3s     | 3P*    |   1 |    374489.507  |             0.05   |  98                                |          
                     |        |   0 |    374490.160  |             0.05   |  98                                |          
                     |        |   2 |    374496.068  |             0.05   |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).3s     | 1P*    |   1 |    379826.356  |             0.06   |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3p     | 1P     |   1 |    387962.12   |             0.06   |  86         :     7  (2P*).3p 1P   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3p     | 3D     |   1 |    389044.544  |             0.05   |  91         :     6  (2D*).3p 1P   |          
                     |        |   2 |    389055.543  |             0.05   |  97                                |          
                     |        |   3 |    389124.913  |             0.05   |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).3p     | 3F     |   2 |    391400.239  |             0.05   | 100                                |          
                     |        |   3 |    391415.686  |             0.05   |  99                                |          
                     |        |   4 |    391436.251  |             0.05   | 100                                |          
                     |        |     |                |                    |                                    |           
