config, term, J, epsion
2s2.2p3, 4S, 1.5, 0.00

2s2.2p3, 2D, 2.5, 41234.43
2s2.2p3, 2D, 1.5, 41278.89

2s2.2p3, 2P, 0.5, 62434.45
2s2.2p3, 2P, 1.5, 62440.78

2s.2p4, 4P, 2.5, 183862.7
2s.2p4, 4P, 1.5, 184476.7
2s.2p4, 4P, 0.5, 184799.2

2s.2p4, 2D, 2.5, 254079.6
2s.2p4, 2D, 1.5, 254100.7

2s.2p4, 2S, 0.5, 299627.4

2s.2p4, 2P, 1.5, 320022.7
2s.2p4, 2P, 0.5, 320738.1

2s2.2p2.(3P).3s, 4P, 0.5, 478690.95
2s2.2p2.(3P).3s, 4P, 1.5, 479072.60
2s2.2p2.(3P).3s, 4P, 2.5, 479650.08

2p5, 2P, 1.5, 484901.0
2p5, 2P, 0.5, 485863.1

2s2.2p2.(3P).3s, 2P, 0.5, 488500.56
2s2.2p2.(3P).3s, 2P, 1.5, 489207.75

2s2.2p2.(1D).3s, 2D, 2.5, 511720.49
2s2.2p2.(1D).3s, 2D, 1.5, 511727.29

2s2.2p2.(3P).3p, 2S, 0.5, 515421.65

2s2.2p2.(3P).3p, 4D, 0.5, 521003.01
2s2.2p2.(3P).3p, 4D, 1.5, 521215.43
2s2.2p2.(3P).3p, 4D, 2.5, 521566.52
2s2.2p2.(3P).3p, 4D, 3.5, 522046.27

2s2.2p2.(3P).3p, 4P, 0.5, 524496.95
2s2.2p2.(3P).3p, 4P, 1.5, 524665.34
2s2.2p2.(3P).3p, 4P, 2.5, 525011.22

2s2.2p2.(3P).3p, 2D, 1.5, 530622.6
2s2.2p2.(3P).3p, 2D, 2.5, 531331.62

2s2.2p2.(3P).3p, 4S, 1.5, 532986.41

2s2.2p2.(3P).3p, 2P, 0.5, 536705.46
2s2.2p2.(3P).3p, 2P, 1.5, 536823.12

2s2.2p2.(1S).3s, 2S, 0.5, 545709.7

2s2.2p2.(1D).3p, 2F, 2.5, 555315.60
2s2.2p2.(1D).3p, 2F, 3.5, 555455.56

2s2.2p2.(1D).3p, 2D, 2.5, 561156.00
