#   1:T[K]      2:Cp[J/kg/K]     4:Cv[J/kg/K]    3:h[J/kg]
 2.000000e+02 1.420927e+03 9.012503e+02 1.543737e+07
 3.000000e+02 1.368857e+03 8.491804e+02 1.557655e+07
 4.000000e+02 1.342723e+03 8.230465e+02 1.571199e+07
 5.000000e+02 1.328627e+03 8.089505e+02 1.584549e+07
 6.000000e+02 1.320336e+03 8.006592e+02 1.597791e+07
 7.000000e+02 1.315071e+03 7.953943e+02 1.610966e+07
 8.000000e+02 1.311533e+03 7.918570e+02 1.624098e+07
 9.000000e+02 1.309064e+03 7.893875e+02 1.637200e+07
 1.000000e+03 1.307255e+03 7.875790e+02 1.650281e+07
 1.100000e+03 1.305616e+03 7.859396e+02 1.663345e+07
 1.200000e+03 1.304659e+03 7.849823e+02 1.676396e+07
 1.300000e+03 1.304013e+03 7.843368e+02 1.689439e+07
 1.400000e+03 1.303505e+03 7.838285e+02 1.702477e+07
 1.500000e+03 1.303060e+03 7.833837e+02 1.715509e+07
 1.600000e+03 1.302656e+03 7.829800e+02 1.728538e+07
 1.700000e+03 1.302297e+03 7.826208e+02 1.741563e+07
 1.800000e+03 1.301998e+03 7.823212e+02 1.754584e+07
 1.900000e+03 1.301777e+03 7.821011e+02 1.767603e+07
 2.000000e+03 1.301657e+03 7.819805e+02 1.780620e+07
 2.100000e+03 1.301655e+03 7.819782e+02 1.793636e+07
 2.200000e+03 1.301787e+03 7.821102e+02 1.806653e+07
 2.300000e+03 1.302066e+03 7.823898e+02 1.819673e+07
 2.400000e+03 1.302504e+03 7.828274e+02 1.832695e+07
 2.500000e+03 1.303107e+03 7.834307e+02 1.845723e+07
 2.600000e+03 1.303881e+03 7.842046e+02 1.858758e+07
 2.700000e+03 1.304828e+03 7.851521e+02 1.871801e+07
 2.800000e+03 1.305950e+03 7.862739e+02 1.884855e+07
 2.900000e+03 1.307245e+03 7.875689e+02 1.897921e+07
 3.000000e+03 1.308711e+03 7.890346e+02 1.911001e+07
 3.100000e+03 1.310343e+03 7.906670e+02 1.924096e+07
 3.200000e+03 1.312137e+03 7.924609e+02 1.937208e+07
 3.300000e+03 1.314087e+03 7.944104e+02 1.950339e+07
 3.400000e+03 1.316185e+03 7.965083e+02 1.963490e+07
 3.500000e+03 1.318423e+03 7.987470e+02 1.976663e+07
 3.600000e+03 1.320795e+03 8.011182e+02 1.989859e+07
 3.700000e+03 1.323289e+03 8.036130e+02 2.003079e+07
 3.800000e+03 1.325899e+03 8.062223e+02 2.016325e+07
 3.900000e+03 1.328613e+03 8.089364e+02 2.029598e+07
 4.000000e+03 1.331422e+03 8.117455e+02 2.042898e+07
 4.100000e+03 1.334316e+03 8.146396e+02 2.056227e+07
 4.200000e+03 1.337285e+03 8.176084e+02 2.069584e+07
 4.300000e+03 1.340318e+03 8.206418e+02 2.082972e+07
 4.400000e+03 1.343406e+03 8.237292e+02 2.096391e+07
 4.500000e+03 1.346537e+03 8.268604e+02 2.109841e+07
 4.600000e+03 1.349701e+03 8.300249e+02 2.123322e+07
 4.700000e+03 1.352889e+03 8.332124e+02 2.136835e+07
 4.800000e+03 1.356089e+03 8.364127e+02 2.150380e+07
 4.900000e+03 1.359292e+03 8.396157e+02 2.163957e+07
 5.000000e+03 1.362488e+03 8.428112e+02 2.177565e+07
 5.100000e+03 1.365666e+03 8.459893e+02 2.191206e+07
 5.200000e+03 1.368817e+03 8.491403e+02 2.204879e+07
 5.300000e+03 1.371931e+03 8.522547e+02 2.218582e+07
 5.400000e+03 1.374999e+03 8.553229e+02 2.232317e+07
 5.500000e+03 1.378012e+03 8.583358e+02 2.246082e+07
 5.600000e+03 1.380961e+03 8.612844e+02 2.259877e+07
 5.700000e+03 1.383836e+03 8.641599e+02 2.273701e+07
 5.800000e+03 1.386630e+03 8.669537e+02 2.287554e+07
 5.900000e+03 1.389334e+03 8.696576e+02 2.301434e+07
 6.000000e+03 1.391940e+03 8.722633e+02 2.315340e+07
