T,O,O+,N,N+,O2,O2+,N2,N2+,NO,NO+,e
50,-5.647,-5.158,-5.158,-5.747,-7.234,-7.226,-7.223,-7.224,-7.224,-7.223,-5.158
100,-4.519,-4.119,-4.119,-4.404,-5.779,-5.771,-5.768,-5.769,-5.769,-5.768,-4.119
200,-2.187,-2.04,-2.04,-2.113,-2.868,-2.86,-2.857,-2.858,-2.859,-2.957,-2.04
400,2.208,2.117,2.117,2.155,3.026,2.99,2.971,2.975,2.988,2.971,2.117
600,6.462,6.274,6.274,6.348,9.245,9.045,8.894,8.932,9.037,8.892,6.274
800,10.67,10.43,10.43,10.52,15.84,15.43,15.05,15.15,15.41,15.04,10.43
1000,14.86,14.59,14.59,14.69,22.7,22.1,21.46,21.65,22.07,21.45,14.59
3000,56.57,56.16,56.22,56.36,98.14,94.99,92.72,96.89,94.67,92.7,56.16
4000,77.68,77,77.53,77.5,139.1,132.9,130,140.7,132.3,130.1,76.95
5000,99.22,98.1,100.1,99.13,181.4,171.6,167.8,186.7,170.4,167.9,97.73
6000,121.3,119.8,124.6,121.3,225,211.4,205.9,233.5,209.1,206,118.5
8000,166.5,166.9,179.4,166.7,313.6,296.8,283.8,327.6,289.3,284.2,160.1
10000,213.1,219.7,240,213.2,399.9,390.6,368.2,421.9,374.9,368.9,201.7
12000,265.4,277.3,311.5,260.2,479.9,487.5,466.9,514.7,465,467.9,243.2
14000,344.4,337.5,431.3,307.5,553.2,580.7,584.4,603.9,555.8,584.7,284.8
15000,407.1,368,530.8,331.4,587.6,624.9,649,646.5,600.4,648,305.6
20000,1024,518.2,1315,455.3,743.2,818.4,978.3,838.8,805.4,961.8,409.5
22000,1283,576.8,1546,515.9,800.2,885.4,1094,906.7,878.4,107,451.1
24000,1480,636.3,1700,601.7,855.1,948,1198,970.6,946.7,1166,492.7
32000,1882,1048,2009,1773,1062,1171,1518,1198,1187,1463,659
38000,2048,1959,2157,2944,1208,1321,1702,1351,1346,1636,783.7
40000,2097,2364,2202,3183,1256,1369,1758,1400,1396,1690,825.2
50000,2322,3856,2419,3768,1490,1602,2015,1635,1636,1936,1033
