J, epsion
1.5, 0.000

2.5, 19224.464
1.5, 19233.177

0.5, 28838.920
1.5, 28839.306

0.5, 83284.070
1.5, 83317.830
2.5, 83364.620

0.5, 86137.350
1.5, 86220.510

2.5, 88107.260
1.5, 88151.170
0.5, 88170.570

0.5, 93581.550

0.5, 94770.880
1.5, 94793.490
2.5, 94830.890
3.5, 94881.820

0.5, 95475.310
1.5, 95493.690
2.5, 95532.150

1.5, 96750.840

1.5, 96787.680
2.5, 96864.050

0.5, 97770.180
1.5, 97805.840

2.5, 99663.427
1.5, 99663.912

0.5, 103622.51
1.5, 103667.16
2.5, 103735.48

0.5, 104144.820
1.5, 104221.630

1.5, 104615.470
0.5, 104654.030

1.5, 104664.130
2.5, 104683.060
3.5, 104716.950
4.5, 104765.77

2.5, 104810.360

2.5, 104825.110
1.5, 104859.73

3.5, 104881.350

0.5, 104886.10

0.5, 104984.37
1.5, 104996.27
2.5, 105008.55
3.5, 105017.600

1.5, 105119.880
2.5, 105143.710

0.5, 106477.800

0.5, 106758.731
1.5, 106778.337
2.5, 106814.459
3.5, 106868.635

0.5, 106980.480
1.5, 106996.032
2.5, 107037.069

1.5, 107182.788
2.5, 107253.106

1.5, 107445.622

0.5, 107588.469
1.5, 107628.283

0.5, 109812.233
1.5, 109856.520
2.5, 109926.661

0.5, 110035.720
1.5, 110103.834

1.5, 110194.654
2.5, 110212.396

1.5, 110220.107
0.5, 110245.183

3.5, 110247.288

2.5, 110286.305

2.5, 110299.974

4.5, 110303.233

1.5, 110322.721

2.5, 110349.09
3.5, 110349.17

0.5, 110350.014

3.5, 110362.462

2.5, 110385.29
3.5, 110385.36

0.5, 110385.795
1.5, 110395.463
2.5, 110401.356

4.5, 110402.09
3.5, 110402.18

3.5, 110403.220

1.5, 110404.50
2.5, 110404.55

1.5, 110447.032

0.5, 110459.79
1.5, 110459.79

2.5, 110470.244

5.5, 110473.09
4.5, 110473.24

1.5, 110485.96
2.5, 110486.04

3.5, 110498.42
2.5, 110498.43

4.5, 110501.68
3.5, 110501.83

1.5, 110521.050
2.5, 110544.850

2.5, 110710.739
3.5, 110715.152

0.5, 111060.905

0.5, 111143.567
1.5, 111165.158

0.5, 111198.848

2.5, 111204.016

1.5, 111213.271

3.5, 111260.873

0.5, 111271.596
1.5, 111285.644
2.5, 111326.798

1.5, 111501.368

1.5, 111853.061
2.5, 111905.609

0.5, 112294.007
1.5, 112319.805

0.5, 112565.470
1.5, 112609.612
2.5, 112681.389

0.5, 112691.96
1.5, 112736.961

1.5, 112759.966
2.5, 112760.325
3.5, 112797.725

1.5, 112801.031
0.5, 112807.567

2.5, 112812.518

2.5, 112824.459

2.5, 112826.94
3.5, 112826.94

1.5, 112838.02

4.5, 112861.348

3.5, 112868.73

0.5, 112870.27

4.5, 112877.91
3.5, 112877.92

1.5, 112880.1
2.5, 112880.53

3.5, 112891.238

0.5, 112904.5
1.5, 112909.076
2.5, 112910.630
3.5, 112911.079

1.5, 112927.055
2.5, 112945.809

0.5, 112946.62
1.5, 112946.62

5.5, 112953.43
4.5, 112953.53

1.5, 112957.77
2.5, 112957.77

3.5, 112965.36

4.5, 112967.09
3.5, 112967.20

2.5, 113307.5

1.5, 113349.8

3.5, 113370.5

2.5, 113402.4

0.5, 114026.654
1.5, 114071.153

0.5, 114112.1

1.5, 114124.2
2.5, 114132.7

2.5, 114146.525

1.5, 114170.4

2.5, 114171.98
3.5, 114171.98

3.5, 114175.736

2.5, 114182.7

0.5, 114183.5

2.5, 114191.6
1.5, 114200.0

1.5, 114206.1

2.5, 114216.70
3.5, 114216.70

3.5, 114222.08
4.5, 114222.08

1.5, 114223.88
2.5, 114223.88

4.5, 114245.309

0.5, 114249.5

3.5, 114262.1

0.5, 114271.8
1.5, 114272.6
2.5, 114274.0
3.5, 114274.1

1.5, 114277.0
2.5, 114293.5

0.5, 114296.19
1.5, 114296.19

4.5, 114300.110
5.5, 114300.110

1.5, 114302.02
2.5, 114302.02

2.5, 114306.69
3.5, 114306.69

3.5, 114307.79
4.5, 114307.79

3.5, 114545.6

0.5, 114894.0
1.5, 114939.1

1.5, 114952.5
2.5, 114959.0

0.5, 114963.1

1.5, 114992.8

2.5, 115003.0

3.5, 115003.6

0.5, 115009.9

2.5, 115011.0
1.5, 115018.7

2.5, 115021.3

1.5, 115033.4

4.5, 115077.2

3.5, 115086.9

0.5, 115093.3
3.5, 115094.4
1.5, 115094.5
2.5, 115094.6

1.5, 115100.0
2.5, 115106.2

0.5, 115449.5

0.5, 115480
1.5, 115480

1.5, 115495.5

2.5, 115495.5

0.5, 115530
1.5, 115535.4

3.5, 115537.8

2.5, 115538.4

2.5, 115576.6

1.5, 115597

4.5, 115613.3

0.5, 115618
1.5, 115618
2.5, 115618

3.5, 115620.6

0.5, 115624.5
1.5, 115626.9
2.5, 115626.9
3.5, 115627.7

2.5, 115633.5

0.5, 115829.3

0.5, 115842
1.5, 115842

1.5, 115876.5

0.5, 115887
1.5, 115887
2.5, 115887
3.5, 115887

0.5, 115889
1.5, 115889

2.5, 115902
3.5, 115902

2.5, 115955.2

1.5, 115973

0.5, 115990
1.5, 115990
2.5, 115990

2.5, 115991

0.5, 116107
1.5, 116107

0.5, 116124
1.5, 116124
2.5, 116124

0.5, 116155
1.5, 116155

2.5, 116159
3.5, 116159

0.5, 116164
1.5, 116164
2.5, 116164
3.5, 116164

1.5, 116240
2.5, 116240

0.5, 116259
1.5, 116259
2.5, 116259

0.5, 116278.558

0.5, 116305
1.5, 116305

0.5, 116312
1.5, 116312
2.5, 116312

0.5, 116351
1.5, 116351

2.5, 116359
3.5, 116359

0.5, 116367
1.5, 116367
2.5, 116367
3.5, 116367

1.5, 116436
2.5, 116436

0.5, 116441
1.5, 116441
2.5, 116441

0.5, 116467
1.5, 116467

0.5, 116502
1.5, 116502

0.5, 116581
1.5, 116581
2.5, 116581

1.5, 116625
2.5, 116625







1.5, 119210.0
2.5, 119210.0

3.5, 119812.9

4.5, 120149.238
3.5, 120149.325

2.5, 120150.1
1.5, 120155.8

1.5, 120309.6
0.5, 120311.2

0.5, 120566.0

2.5, 121200.5

2.5, 122246.4
3.5, 122246.4

4.5, 125688.07
5.5, 125688.07

2.5, 131000.00

1.5, 142080.75
2.5, 142081.91
3.5, 142084.13

0.5, 144360
1.5, 144360
2.5, 144360

0.5, 154439
1.5, 154439
2.5, 154439

0.5, 158322
1.5, 158322
2.5, 158322

0.5, 160241
1.5, 160241
2.5, 160241

0.5, 161330
1.5, 161330
2.5, 161330

0.5, 162005
1.5, 162005
2.5, 162005

0.5, 162436
1.5, 162436
2.5, 162436

0.5, 162770
1.5, 162770
2.5, 162770

0.5, 162999
1.5, 162999
2.5, 162999

0.5, 163163
1.5, 163163
2.5, 163163

0.5, 163298
1.5, 163298
2.5, 163298

0.5, 163399
1.5, 163399
2.5, 163399

