J, epsion
0, 00.0
1, 148.7
2, 2130.8

2, 215316.2

0, 032688.8

2, 246784.6

3, 392237.2
2, 292250.3
1, 192251.8

1, 1109216.6
2, 2109217.6
0, 0109223.5

2, 2144187.94

0, 0148908.59
1, 1148940.17
2, 2149076.52

1, 1149187.80

1, 1155126.73

1, 1164610.76

1, 1166521.69
2, 2166582.45
3, 3166678.64

1, 1166765.66

1, 1168892.21

0, 0170572.61
1, 1170607.89
2, 2170666.23

2, 2174212.03

0, 0178273.38

2, 2186511.58
3, 3186570.98
4, 4186652.49

2, 2187091.37

1, 1187437.56
2, 2187461.56
3, 3187491.90

2, 2188857.37
1, 1188909.17
0, 0188937.24

3, 3189335.16

1, 1190120.24

0, 0196540.23
1, 1196592.07
2, 2196711.54

1, 1197858.69

1, 1202170.63

1, 1202714.12
2, 2202765.26
3, 3202861.36

0, 0203162.48
1, 1203189.03
2, 2203258.98

1, 1203537.66

2, 2205350.18

1, 1205597.97
2, 2205654.22
3, 3205724.81

0, 0206910.24

2, 2209673.65
3, 3209737.97
4, 4209823.91

2, 2209925.76

1, 1210239.83
2, 2210266.04
3, 3210301.68

2, 2210705.26
1, 1210751.43
0, 0210776.45

3, 3211030.07
2, 2211032.93

3, 3211056.26
4, 4211060.24

3, 3211103.63

3, 3211287.23
4, 4211294.85

1, 1211336.16

5, 5211389.95
4, 4211402.03

3, 3211410.47
2, 2211415.16

1, 1211486.58
2, 2211490.30

0, 0211749.35
1, 1211779.45
2, 2211827.67

0, 0214211.96
1, 1214257.69
2, 2214384.13

1, 1214829.18

2, 2220290
1, 1220300
0, 0220310

2, 2220495.36

1, 1
2, 2220674
3, 3220716

3, 3221054.50
2, 2221057.01

3, 3221069.22
4, 4221073.35

3, 3221141.61

4, 4221163.71
3, 3221163.71

4, 4221167.38
5, 5221167.57

3, 3221226.65
4, 4221231.92

1, 1221246.17

3, 3221292.31
2, 2221296.24

5, 5221301.10
4, 4221311.11

4, 4221322.76
5, 5221322.86

3, 3221342.81
4, 4221343.00

1, 1221351.63
2, 2221354.47

5, 5221363.98
6, 6221364.00

3, 3221380.3
2, 2221380.3

0, 0
1, 1222744.16
2, 2222878.39

1, 1223069.02

1, 1223101.82

0, 0223643.30
1, 1223658.55
2, 2223688.45
3, 3223731.59
4, 4223785.51

1, 1225603.50
2, 2225627.47
3, 3225671.22

3, 3226482.68
2, 2226484.64

3, 3226488.79
4, 4226492.09

3, 3226640.22
4, 4226643.25

3, 3226675.99
2, 2226678.4

5, 5226688.9
4, 4226696.2

1, 1226718.6
2, 2226720.8

1, 1228694.30
2, 2228731.81
3, 3228791.83

3, 3229748.9
4, 4229749.7

2, 2229838.96

4, 4229907.5

5, 5229938.1
4, 4229943.1

0, 0
1, 1
2, 2230831.74
