J, epsion
2, 0.000
1, 158.265
0, 226.977

2, 15867.862

0, 33792.583

2, 73768.200

1, 76794.978

1, 86625.757
2, 86627.778
3, 86631.454

1, 88630.587
2, 88631.146
0, 88631.303

2, 95476.728

1, 96225.049

4, 97420.630
3, 97420.716
2, 97420.839
1, 97420.942
0, 97420.991

1, 97488.378
2, 97488.448
3, 97488.538

1, 99092.968
2, 99093.641
3, 99094.837

1, 99680.968
2, 99681.049
0, 99681.309

3, 101135.407
2, 101147.526
1, 101155.422

2, 102116.698

1, 102411.995

2, 102662.026

4, 102865.506
3, 102865.547
2, 102865.606
1, 102865.655
0, 102865.679

3, 102908.374
2, 102908.443
1, 102908.489

5, 102968.249
4, 102968.249
3, 102968.249
2, 102968.249
1, 102968.249

4, 102968.343
3, 102968.343
2, 102968.343

1, 103625.754
2, 103626.111
3, 103626.611

2, 103869.968
1, 103870.028
0, 103870.252

2, 105019.307

1, 105165.232

4, 105385.354
3, 105385.377
2, 105385.409
1, 105385.436
0, 105385.449

3, 105409.008
2, 105409.008
1, 105409.008

5, 105441.645
4, 105441.645
3, 105441.645
2, 105441.645
1, 105441.645

4, 105441.724
3, 105441.724
2, 105441.724

1, 105788.431
2, 105788.595
3, 105788.856

2, 105912.031
1, 105912.031
0, 105912.031

2, 106545.354

1, 106627.934

4, 106751.447
3, 106751.458
2, 106751.474
1, 106751.487
0, 106751.494

3, 106765.803
2, 106765.803
1, 106765.803

5, 106785.160
4, 106785.160
3, 106785.160
2, 106785.160
1, 106785.160

4, 106785.201
3, 106785.201
2, 106785.201

5, 106787.903

6, 106787.903

4, 106787.903
3, 106787.903

5, 106787.903
4, 106787.903
3, 106787.903
2, 106787.903

2, 107446.036

1, 107497.224

4, 107573.476
3, 107573.484
2, 107573.495
1, 107573.504
0, 107573.508

3, 107582.777
2, 107582.777
1, 107582.777

5, 107595.140
4, 107595.140
3, 107595.140
2, 107595.140
1, 107595.140

4, 107595.147
3, 107595.147
2, 107595.147

2, 108021.400

1, 108056.000

4, 108106.072
3, 108106.077
2, 108106.085
1, 108106.091
0, 108106.094

3, 108114.0
2, 108114.0
1, 108114.0

2, 108412.0

1, 108436.3

4, 108470.23
3, 108470.23
2, 108470.23
1, 108470.23
0, 108470.23

3, 108476.7
2, 108476.7
1, 108476.7

1, 108705.5

4, 108731.53
3, 108731.53
2, 108731.53
1, 108731.53
0, 108731.53

3, 108736.1
2, 108736.1
1, 108736.1

1, 108906.1

3, 108927.2
2, 108927.2
1, 108927.2

1, 109056.0

3, 109073.3
2, 109073.3
1, 109073.3

1, 109171.7

3, 109186.3
2, 109186.3
1, 109186.3

1, 109265.9

3, 109278.2
2, 109278.2
1, 109283.0

1, 109341.0

3, 109348.9
2, 109348.9
1, 109348.9

1, 109402.4

3, 109409.5
2, 109409.5
1, 109409.5

1, 109454.7

3, 109457.6
2, 109457.6
1, 109457.6

1, 109492.9
2, 109498.0
3, 109499.0

1, 109499.0

3, 109533.2
2, 109533.2
1, 109533.2

1, 109533.3

3, 109561.5
2, 109561.5
1, 109561.5

1, 109562.3

1, 109589.0

3, 109589.3
2, 109589.3
1, 109589.3

1, 109610.5

3, 109610.5
2, 109610.5
1, 109610.5

1, 109630.0

3, 109630.0
2, 109630.0
1, 109630.0

1, 109647.7

3, 109647.7
2, 109647.7
1, 109647.7

1, 109661.4

3, 109661.4
2, 109661.4
1, 109661.4

1, 109673.5

3, 109673.5
2, 109673.5
1, 109673.5

1, 109686.2

3, 109686.2
2, 109686.2
1, 109686.2

1, 109695.9

3, 109695.9
2, 109695.9
1, 109695.9

1, 109705.4

3, 109705.4
2, 109705.4
1, 109705.4

1, 109713.7

3, 109713.7
2, 109713.7
1, 109713.7



1, 113204.445

3, 113294.816
2, 113294.854
1, 113298.320

4, 113714.444
3, 113721.413
2, 113727.165

2, 113910.957
1, 113921.391
0, 113927.534

3, 113996.239

1, 115918.143

2, 116631.094

3, 122419.7
2, 122433.2
1, 122441.0

2, 122797.661

2, 123296.777
1, 123355.512
0, 123387.339

4, 124213.607
3, 124219.025
2, 124224.118

4, 124238.650
5, 124240.118

0, 124242.576

3, 124247.1

3, 124252.926

2, 124257.7

4, 124258.780

1, 124264.0

1, 124274

2, 124319.175

3, 124326.779

1, 124336.3

3, 125775.493
2, 125782.889
1, 125788.008

2, 126266.896
1, 126340.225
0, 126383.751

3, 127282.626
2, 127288.349
1, 127291.638

1, 127667.754

2, 128594.916

3, 128978.8
2, 128990.2
1, 128998.2

2, 129132.323

4, 129666.907

4, 129679.841
5, 129680.522

0, 129682.528

1, 129683

3, 129692.3

3, 129693.488

2, 129697.5

4, 129699.521

1, 129703.0

2, 129731

1, 129736.6

3, 129737.052

5, 129777.940

5, 129779.919
6, 129779.929

5, 129799.831

2, 129970.000
1, 129979.384
0, 129984.553

0, 130942.923

3, 131854.5
2, 131865.5
1, 131876.1

2, 131936

4, 132190.671

4, 132198.046
5, 132198.396

1, 132203

3, 132203.4
2, 132213.8

4, 132217.679

1, 132218.1

1, 132232.6

2, 132235

3, 132240

2, 132311.1
1, 132316.2

3, 133369.8
2, 133378.8
1, 133390.2

2, 133421

3, 133566.8
2, 133566.8
1, 133566.8

1, 133569

1, 133577.9

2, 133587

3, 133591

2, 133622.0
1, 133626.5

3, 134265.3
2, 134273.4
1, 134285.1

2, 134305

3, 134385.0
2, 134385.0
1, 134385.0

1, 134387

1, 134402.5

2, 134409

3, 134409

2, 134421.4
1, 134426.5

3, 134839.0
2, 134843.7

2, 134869

3, 134919.2

1, 134919.2

2, 134919.2
1, 134919.2

1, 134921

2, 134940

3, 134940

2, 134943.8
1, 134947.1

3, 135226.7
2, 135226.7

2, 135252

3, 135283.7

1, 135283.7

2, 135283.7
1, 135283.7

1, 135285

2, 135303.5

2, 135304

3, 135304

1, 135305.0

3, 135502.3

3, 135541.7

1, 135541.7

2, 135541.7
1, 135541.7

1, 135542

2, 135560.3
1, 135562.2

2, 135565

3, 135565

2, 135681.7
1, 135681.7
0, 135681.7

3, 135701.8

2, 135723

3, 135732.4

1, 135732.4

2, 135732.4
1, 135732.4

1, 135736

1, 135751.7
2, 135752.9

2, 135755

3, 135755

3, 135852.6

3, 135876.4

1, 135876.4

2, 135876.4
1, 135876.4

1, 135887

1, 135896.9
2, 135899.1

2, 135902

3, 135902

3, 135986.4

1, 135986.4

2, 135986.4
1, 135986.4

2, 136000

1, 136000

2, 136011.0
1, 136011.7

3, 136071.3

1, 136071.3

2, 136071.3
1, 136071.3

1, 136085

2, 136100.1

3, 136138.9

1, 136138.9

2, 136138.9
1, 136138.9

2, 136171.5

3, 136194.4

1, 136194.4

2, 136194.4
1, 136194.4

2, 136242.2

1, 136353





2, 137928

2, 137946.5
1, 137946.5
0, 137946.5

3, 137962.5
2, 137962.5
1, 137962.5

1, 137981

2, 142650.5
1, 142650.5
0, 142650.5

1, 142743

2, 143359

2, 143363.4

3, 143363.4

1, 143363.4
0, 143363.4

2, 143363.4
1, 143363.4

1, 143384

2, 145516.5
1, 145516.5
0, 145516.5

1, 145620

2, 145868

2, 145870.5

3, 145870.5

1, 145870.5
0, 145870.5

2, 145870.5
1, 145870.5

1, 145887

2, 147028.7
1, 147028.7
0, 147028.7

1, 147057

2, 147229

2, 147230.1

3, 147230.1

1, 147230.1
0, 147230.1

2, 147230.1
1, 147230.1

1, 147240

2, 147921.1
1, 147921.1
0, 147921.1

1, 147942

2, 148045

2, 148047.7

3, 148047.7

1, 148047.7
0, 148047.7

2, 148047.7
1, 148047.7

1, 148058

2, 148495.5
1, 148495.5
0, 148495.5

1, 148505

2, 148576.9

3, 148576.9

1, 148576.9
0, 148576.9

2, 148576.9
1, 148576.9

2, 148578

1, 148582

2, 148882.9
1, 148882.9
0, 148882.9

1, 148891

2, 148941

2, 148945.4

3, 148945.4

1, 148945.4
0, 148945.4

2, 148945.4
1, 148945.4

1, 148946

2, 149159.1
1, 149159.1
0, 149159.1

1, 149168

2, 149200.6

3, 149200.6

1, 149200.6
0, 149200.6

2, 149200.6
1, 149200.6

2, 149203

2, 149359.4
1, 149359.4
0, 149359.4

2, 149390.6

3, 149390.6

1, 149390.6
0, 149390.6

2, 149390.6
1, 149390.6

2, 149392

2, 149514.4
1, 149514.4
0, 149514.4

2, 149539.4

3, 149539.4

1, 149539.4
0, 149539.4

2, 149539.4
1, 149539.4

2, 149631.8
1, 149631.8
0, 149631.8

2, 149652.2

3, 149652.2

1, 149652.2
0, 149652.2

2, 149652.2
1, 149652.2

2, 149744.9

3, 149744.9

1, 149744.9
0, 149744.9

2, 149744.9
1, 149744.9

2, 149815.6

3, 149815.6

1, 149815.6
0, 149815.6

2, 149815.6
1, 149815.6

2, 149923.7

3, 149923.7

1, 149923.7
0, 149923.7

2, 149923.7
1, 149923.7

2, 149961.5

3, 149961.5

1, 149961.5
0, 149961.5

2, 149961.5
1, 149961.5

2, 150000.8

3, 150000.8

1, 150000.8
0, 150000.8

2, 150000.8
1, 150000.8



