
1s2.2s2.2p1(2.0P).4f1--3.0D[3.0, 2.0, 1.0], 3.0, 208335.436801 ritzRydberg
1s2.2s2.2p1(2.0P).4f1--3.0D[3.0, 2.0, 1.0], 2.0, 208335.436801 ritzRydberg
1s2.2s2.2p1(2.0P).4f1--3.0D[3.0, 2.0, 1.0], 1.0, 208335.436801 ritzRydberg

1s2.2s2.2p1(2.0P).4f1--1.0D[2.0], 2.0, 209194.637496 ritzRydberg

1s2.2s2.2p1(2.0P).4f1--3.0F[4.0, 3.0, 2.0], 4.0, 209745.176667 ritzRydberg
1s2.2s2.2p1(2.0P).4f1--3.0F[4.0, 3.0, 2.0], 3.0, 209745.176667 ritzRydberg
1s2.2s2.2p1(2.0P).4f1--3.0F[4.0, 3.0, 2.0], 2.0, 209745.176667 ritzRydberg

1s2.2p4--1.0D[2.0], 2.0, 211330.4804231682 hydrogenic

1s2.2p4--1.0S[0.0], 0.0, 211330.4804231682 hydrogenic

1s2.2s1.2p3--4.0S[1.5], 1.5, 211330.4804231682 hydrogenic

1s2.2s1.2p3--2.0D[2.5, 1.5], 2.5, 211330.4804231682 hydrogenic
1s2.2s1.2p3--2.0D[2.5, 1.5], 1.5, 211330.4804231682 hydrogenic

1s2.2s1.2p3--2.0P[1.5, 0.5], 1.5, 211330.4804231682 hydrogenic
1s2.2s1.2p3--2.0P[1.5, 0.5], 0.5, 211330.4804231682 hydrogenic

1s2.2s2.2p1(2.0P).4f1--1.0F[3.0], 3.0, 212713.134558 ritzRydberg

1s2.2s2.2p1(2.0P).5p1--3.0S[1.0], 1.0, 213144.16627 ritzRydberg

1s2.2s2.2p1(2.0P).5p1--3.0P[2.0, 1.0, 0.0], 2.0, 214096.581672 ritzRydberg
1s2.2s2.2p1(2.0P).5p1--3.0P[2.0, 1.0, 0.0], 1.0, 214096.581672 ritzRydberg
1s2.2s2.2p1(2.0P).5p1--3.0P[2.0, 1.0, 0.0], 0.0, 214096.581672 ritzRydberg

1s2.2s2.2p1(2.0P).5d1--3.0P[2.0, 1.0, 0.0], 2.0, 214096.581672 ritzRydberg
1s2.2s2.2p1(2.0P).5d1--3.0P[2.0, 1.0, 0.0], 1.0, 214096.581672 ritzRydberg
1s2.2s2.2p1(2.0P).5d1--3.0P[2.0, 1.0, 0.0], 0.0, 214096.581672 ritzRydberg

1s2.2s2.2p1(2.0P).5p1--1.0S[0.0], 0.0, 215233.408973 ritzRydberg

1s2.2s2.2p1(2.0P).5p1--1.0P[1.0], 1.0, 215507.609716 ritzRydberg

1s2.2s2.2p1(2.0P).5p1--3.0D[3.0, 2.0, 1.0], 3.0, 216692.977113 ritzRydberg
1s2.2s2.2p1(2.0P).5p1--3.0D[3.0, 2.0, 1.0], 2.0, 216692.977113 ritzRydberg
1s2.2s2.2p1(2.0P).5p1--3.0D[3.0, 2.0, 1.0], 1.0, 216692.977113 ritzRydberg

1s2.2s2.2p1(2.0P).5f1--3.0D[3.0, 2.0, 1.0], 3.0, 216692.977113 ritzRydberg
1s2.2s2.2p1(2.0P).5f1--3.0D[3.0, 2.0, 1.0], 2.0, 216692.977113 ritzRydberg
1s2.2s2.2p1(2.0P).5f1--3.0D[3.0, 2.0, 1.0], 1.0, 216692.977113 ritzRydberg

1s2.2s2.2p1(2.0P).5d1--3.0F[4.0, 3.0, 2.0], 4.0, 216919.279043 ritzRydberg
1s2.2s2.2p1(2.0P).5d1--3.0F[4.0, 3.0, 2.0], 3.0, 216919.279043 ritzRydberg
1s2.2s2.2p1(2.0P).5d1--3.0F[4.0, 3.0, 2.0], 2.0, 216919.279043 ritzRydberg

1s2.2s2.2p1(2.0P).5f1--3.0F[4.0, 3.0, 2.0], 4.0, 216919.279043 ritzRydberg
1s2.2s2.2p1(2.0P).5f1--3.0F[4.0, 3.0, 2.0], 3.0, 216919.279043 ritzRydberg
1s2.2s2.2p1(2.0P).5f1--3.0F[4.0, 3.0, 2.0], 2.0, 216919.279043 ritzRydberg

1s2.2s2.2p1(2.0P).5g1--3.0F[4.0, 3.0, 2.0], 4.0, 216919.279043 ritzRydberg
1s2.2s2.2p1(2.0P).5g1--3.0F[4.0, 3.0, 2.0], 3.0, 216919.279043 ritzRydberg
1s2.2s2.2p1(2.0P).5g1--3.0F[4.0, 3.0, 2.0], 2.0, 216919.279043 ritzRydberg

1s2.2s2.2p1(2.0P).5p1--1.0D[2.0], 2.0, 217105.004182 ritzRydberg

1s2.2s2.2p1(2.0P).5f1--1.0D[2.0], 2.0, 217105.004182 ritzRydberg

1s2.2s2.2p1(2.0P).4f1--3.0G[5.0, 4.0, 3.0], 5.0, 217162.746667 azimuthalQuantExtrap
1s2.2s2.2p1(2.0P).4f1--3.0G[5.0, 4.0, 3.0], 4.0, 217162.746667 azimuthalQuantExtrap
1s2.2s2.2p1(2.0P).4f1--3.0G[5.0, 4.0, 3.0], 3.0, 217162.746667 azimuthalQuantExtrap

1s2.2s2.2p1(2.0P).4f1--1.0G[4.0], 4.0, 217162.746667 azimuthalQuantExtrap

1s2.2s2.2p1(2.0P).6p1--3.0S[1.0], 1.0, 217886.469567 ritzRydberg

1s2.2s2.2p1(2.0P).6p1--3.0P[2.0, 1.0, 0.0], 2.0, 218695.069139 ritzRydberg
1s2.2s2.2p1(2.0P).6p1--3.0P[2.0, 1.0, 0.0], 1.0, 218695.069139 ritzRydberg
1s2.2s2.2p1(2.0P).6p1--3.0P[2.0, 1.0, 0.0], 0.0, 218695.069139 ritzRydberg

1s2.2s2.2p1(2.0P).6d1--3.0P[2.0, 1.0, 0.0], 2.0, 218695.069139 ritzRydberg
1s2.2s2.2p1(2.0P).6d1--3.0P[2.0, 1.0, 0.0], 1.0, 218695.069139 ritzRydberg
1s2.2s2.2p1(2.0P).6d1--3.0P[2.0, 1.0, 0.0], 0.0, 218695.069139 ritzRydberg

1s2.2s2.2p1(2.0P).6p1--1.0S[0.0], 0.0, 219422.925467 ritzRydberg

1s2.2s2.2p1(2.0P).5f1--1.0F[3.0], 3.0, 219424.071777 ritzRydberg

1s2.2s2.2p1(2.0P).5g1--1.0F[3.0], 3.0, 219424.071777 ritzRydberg

1s2.2s2.2p1(2.0P).6p1--1.0P[1.0], 1.0, 219945.465452 ritzRydberg

